@relation amp_5_EMGP—handshaking-n

@attribute time-index numeric
@attribute ch1 numeric
@attribute ch2 numeric
@attribute ch3 numeric
@attribute ch4 numeric
@attribute ch5 numeric
@attribute ch6 numeric
@attribute ch7 numeric
@attribute ch8 numeric

@data
1,-66,6,1,-48,-17,-11,120,-60
2,-60,74,?,-68,-14,25,119,-80
3,-119,25,-26,-66,-40,17,98,-54
4,-164,94,-8,-66,-36,31,95,-66
5,-183,124,-38,?,-68,37,95,-47
6,-260,93,-26,-61,-51,22,77,-54
7,-461,13,-2,-33,-41,-11,85,-32
8,-559,-117,-7,-41,-31,16,105,-31
9,-477,-181,-13,-38,-22,27,97,-30
10,-279,-198,-1,-31,-33,?,102,-5
11,-127,-174,-10,-41,-23,5,93,-37
12,-8,-152,-16,-35,-42,-9,120,-3
13,42,-131,-25,-31,-26,-17,120,-1
14,-45,-133,-21,-30,-27,-14,109,11
15,-82,-97,-11,-20,-26,-16,114,16
16,-97,-50,-36,-24,-11,-13,97,12
17,-46,5,-29,?,-8,-5,102,31
18,-30,19,-1,0,4,?,116,23
19,15,21,-26,-10,14,1,107,22
20,116,43,-1,?,35,0,132,43
21,104,-5,-10,-18,25,-3,181,70
22,122,-44,-30,-4,?,-11,168,47
23,151,-63,3,-5,77,23,183,60
24,164,-80,-5,-15,85,35,179,68
25,215,-111,3,-30,73,20,165,79
26,307,-60,-5,-36,97,54,158,94
27,304,17,-14,-8,81,37,111,77
28,260,127,-5,-14,77,48,89,98
29,74,201,3,-9,106,78,64,121
30,-181,174,-2,28,94,?,47,100
31,-351,160,?,23,104,25,28,104
32,-474,136,11,10,117,40,23,100
33,-482,126,2,14,71,47,-4,104
34,-409,69,-9,?,?,?,-46,108
35,?,69,7,0,68,?,-60,112
36,-140,85,12,-1,74,?,-105,80
37,-9,41,-10,-7,96,40,-125,59
38,?,?,-25,-10,84,7,-133,40
39,281,-23,-7,12,82,1,-146,9
40,392,-25,-10,9,68,20,-129,18
41,465,-23,-29,-22,21,9,-134,-1
42,439,-23,-1,-18,41,10,-159,-11
43,294,-1,13,-33,41,25,-139,-32
