@relation amp_5_EMGP—sidekicking-a

@attribute time-index numeric
@attribute ch1 numeric
@attribute ch2 numeric
@attribute ch3 numeric
@attribute ch4 numeric
@attribute ch5 numeric
@attribute ch6 numeric
@attribute ch7 numeric
@attribute ch8 numeric

@data
1,-714,-765,-104,-285,-421,4000,4000,-230
2,-779,-802,-159,-215,-484,4000,4000,377
3,-832,-609,-208,-239,-457,4000,4000,2835
4,-885,-558,-221,-357,-421,4000,4000,?
5,-830,-468,-217,-167,237,2800,4000,4000
6,-908,?,-274,-48,?,2709,4000,4000
7,-909,-448,-414,189,464,4000,4000,4000
8,-954,-502,-517,363,481,3849,4000,3467
9,-779,-497,-271,329,888,4000,4000,1272
10,-506,-399,-73,24,668,?,4000,-858
11,-378,-570,52,-618,-73,3333,3726,-2429
12,-249,-671,218,-701,-69,2515,3009,-4000
13,-368,-509,189,-645,100,1963,1931,-4000
14,-207,-465,171,-959,-186,2060,989,-4000
15,-43,-480,27,-724,310,1547,288,-4000
16,-73,-409,-26,-70,1358,959,-484,?
17,-73,-346,-181,329,1720,1313,-1462,-4000
18,-162,-273,-420,341,1502,1571,-2536,-4000
19,-396,-183,-164,84,1598,1864,-3130,-4000
20,-598,-84,-74,-59,1502,1929,-3833,-4000
21,-431,12,-632,-308,1580,1604,-4000,-4000
22,-298,-2,-1274,-409,1722,1279,-4000,-4000
23,-168,-42,-1412,-328,1409,1537,-4000,-4000
24,90,-25,-1268,-46,-69,1344,-4000,-4000
25,371,117,-1080,287,65,628,-4000,-4000
26,625,119,-364,341,2035,941,-4000,-4000
27,811,-69,641,354,2906,1118,-4000,-4000
28,?,-265,1420,?,2960,1026,-4000,-4000
29,1246,-297,2158,-306,1677,1539,-4000,-4000
30,1051,-104,2539,-210,1474,1864,-4000,-4000
31,838,48,2551,18,2085,1864,-4000,-4000
32,507,273,2392,64,2711,1594,-4000,-4000
33,212,?,1835,292,2822,2359,-4000,-4000
34,62,477,1379,434,1641,3202,-4000,?
35,-105,73,903,532,1309,3036,-4000,-4000
36,-180,52,431,614,2634,3083,-4000,-4000
37,-248,-118,?,?,3340,3686,-4000,-4000
38,-224,-234,-218,716,2170,4000,-4000,-4000
39,-126,6,?,624,3213,3849,-4000,-4000
40,-344,-24,-1015,493,4000,3617,-4000,-2254
41,-698,36,-1850,329,3213,2970,-4000,327
42,-706,110,-1671,219,3102,3296,-4000,3014
43,-553,124,-1016,142,4000,3670,-4000,4000
44,-541,190,-710,188,4000,2840,-4000,4000
45,-374,172,-255,219,4000,597,-4000,4000
46,-157,-4,-776,102,4000,-2287,-4000,4000
47,97,-188,-1041,115,4000,-3860,-4000,4000
48,361,-109,-507,181,4000,-4000,-4000,?
49,408,-60,-473,131,4000,-2703,-4000,4000
50,430,-150,-643,-37,4000,-966,-4000,4000
51,465,78,-1093,-236,4000,-320,-4000,4000
52,458,374,-1760,-363,4000,325,-4000,4000
53,428,34,-1257,-320,4000,860,-4000,4000
54,395,?,?,-232,4000,1982,-686,4000
55,126,-292,-737,-89,3932,2428,3937,4000
56,-14,-299,-898,-109,1930,2047,4000,4000
57,-15,26,124,-186,2374,2056,4000,4000
58,-144,244,1367,-74,3851,1148,4000,4000
59,-258,407,1934,-83,4000,1474,4000,4000
60,-302,20,2474,-69,3657,2115,4000,?
61,-331,-118,2680,-93,2710,2420,4000,4000
62,-409,-236,2615,-50,2516,2158,4000,3198
63,-310,-157,2412,174,?,2315,4000,1924
64,-204,81,2152,452,1777,2056,4000,666
65,-87,-11,1964,642,1352,-76,4000,-230
66,-31,39,1574,720,754,-1369,4000,-805
67,-79,-41,1299,587,8,-1581,?,-1143
68,-66,119,?,228,-539,-1302,4000,-1534
69,-33,85,710,-149,-1121,-404,4000,-1921
70,21,54,31,-458,-1312,652,4000,-2392
71,19,44,-650,-784,-1263,1547,4000,-2647
72,41,-33,-1172,-617,-1056,3655,4000,-2319
73,24,28,-1427,47,-1071,4000,4000,-1970
74,-12,-66,-1606,?,-1162,3265,4000,-1970
75,-136,-114,-1618,85,-1056,1472,4000,-2383
76,-388,-218,-1451,150,-876,1026,2942,-2881
77,-425,-292,-1397,41,-947,3036,-2210,-3072
78,-433,-243,-1338,32,-1137,4000,-4000,-2869
79,-467,-236,-1227,-125,-1404,4000,?,-2283
80,-354,-235,-1028,-99,-1740,4000,-4000,-730
81,-306,-196,-909,-228,-1854,4000,-4000,1654
82,-17,-232,-803,-233,?,4000,-4000,2575
83,?,-219,-676,-183,-1797,4000,-4000,3144
84,269,-203,-554,-226,-1383,1929,-4000,4000
85,200,-277,-438,-265,-1042,-1170,-4000,4000
86,-62,-340,-413,-326,-551,-3925,-4000,4000
87,-307,-226,-324,-349,18,-4000,-4000,4000
88,-377,-1,-283,-352,469,-4000,-4000,3552
89,-240,77,-182,?,257,-4000,-4000,?
90,38,95,-97,-141,114,-4000,?,4000
91,394,68,?,-217,12,-4000,-4000,4000
92,564,98,-34,-153,-5,-4000,-4000,4000
93,890,99,-11,-88,169,-4000,-4000,4000
94,1124,34,11,-86,684,-4000,-4000,4000
95,1246,56,19,-170,?,-3789,-4000,4000
96,1244,110,93,-182,?,-4000,?,4000
97,790,118,108,16,817,-4000,-4000,4000
98,448,199,84,62,367,-4000,-4000,4000
99,212,251,44,-217,-55,-3714,-4000,4000
100,-253,313,-12,189,-78,-2026,-4000,?
101,-266,347,-34,431,-318,-2107,-3407,4000
102,-39,269,-211,-654,-1028,-4000,-2601,4000
103,54,254,-174,-962,-1398,-4000,-1749,?
104,188,298,?,829,-1525,-4000,-771,4000
105,74,455,728,2022,-1292,-4000,-323,4000
106,-166,485,328,1436,-803,-4000,45,4000
107,-298,410,?,759,-753,-4000,?,4000
108,-331,382,158,-8,-746,-4000,482,4000
109,-444,141,73,-397,-295,-4000,518,4000
110,-392,-197,126,-885,921,-4000,897,3786
111,?,-444,98,-1394,2231,-4000,1771,3207
112,-338,-596,77,-1288,2581,-4000,2908,?
113,-200,-558,149,-656,2386,-4000,4000,2290
114,-110,-421,82,190,2243,-4000,4000,1915
115,-148,-416,49,532,1774,-2351,4000,1272
116,-327,-269,67,549,1352,?,4000,978
117,?,-117,-7,382,944,4000,4000,750
118,-260,-106,77,199,314,4000,4000,182
119,-48,36,63,-74,-162,?,4000,6
120,214,95,-105,101,-653,4000,4000,-53
121,161,139,-131,199,-812,4000,4000,-64
122,63,143,-198,17,?,4000,4000,39
123,121,127,-428,272,1395,4000,4000,22
124,28,126,-448,292,2842,4000,4000,-195
125,-131,126,42,68,3037,4000,4000,-458
126,-266,47,364,-350,2759,4000,4000,-870
127,-302,48,332,-370,2941,?,4000,-1650
128,-266,201,635,52,3737,4000,4000,-2466
129,-170,94,801,238,3851,4000,4000,-2853
130,-23,40,638,261,3349,4000,4000,-2649
131,1,73,497,236,2422,4000,4000,-2206
132,165,82,63,292,1733,4000,4000,-1857
133,313,223,-168,382,1669,?,4000,-1660
134,387,309,-245,385,1344,4000,4000,-1824
135,377,263,?,356,772,?,4000,-2230
136,303,162,-579,259,-490,4000,4000,-2973
137,166,79,-282,?,-2289,4000,4000,-3514
138,-6,-16,7,219,-2530,4000,3999,-3504
139,-47,-138,-194,150,-1440,3751,3950,-3724
140,-188,-161,-1518,161,-1528,221,3738,-3925
141,-280,-135,-2369,171,-2134,-2132,3151,-3978
142,-260,-118,-1126,105,-1915,-2819,2517,-4000
143,-246,-27,-263,-16,-1593,-3620,1982,-4000
144,-221,-56,540,50,-2860,-4000,1243,-4000
145,-207,-72,1314,142,-3779,-4000,533,-4000
146,-155,-48,1501,-113,-2796,-4000,-39,-4000
147,-111,-114,1794,-445,-2374,-4000,-922,?
148,-38,-93,1509,-559,-2509,-4000,-2097,-4000
149,-13,-23,1473,-152,-2847,-4000,?,-4000
150,-33,48,1289,-73,-3445,-4000,-3977,-4000
151,-17,36,1184,-198,-3638,-4000,-4000,-4000
152,-1,7,996,-123,-3065,-4000,-4000,-4000
153,-13,17,608,-126,-2289,-4000,-4000,-4000
