@relation amp_5_EMGP—slapping-a

@attribute time-index numeric
@attribute ch1 numeric
@attribute ch2 numeric
@attribute ch3 numeric
@attribute ch4 numeric
@attribute ch5 numeric
@attribute ch6 numeric
@attribute ch7 numeric
@attribute ch8 numeric

@data
1,2,113,129,55,-1042,845,-94,-2474
2,-226,36,126,15,-1577,498,-373,-1531
3,-1205,34,-20,67,-2509,83,-572,-674
4,-1105,70,-92,95,-3444,-240,-709,-407
5,-517,17,-173,61,-3855,-589,-846,-805
6,-1951,-218,-146,69,-4000,-790,-1124,-1465
7,-4000,-608,-100,22,-4000,-875,-1337,-1595
8,-4000,-735,-83,2,-4000,-224,-1397,-936
9,-4000,-591,-76,62,?,169,-1684,-508
10,-4000,-552,-29,85,-4000,167,-1909,?
11,-1948,-509,-54,131,-4000,135,-1833,-274
12,1605,-383,-156,142,-4000,57,-1547,128
13,?,-306,-188,130,-4000,303,-1458,395
14,4000,-323,-239,128,-4000,?,?,442
15,4000,-310,-279,116,-4000,-123,-1702,632
16,4000,40,-311,128,-4000,-393,-1641,1193
17,4000,250,-253,64,-4000,-271,-1570,1663
18,1147,-188,?,10,-3508,-238,-1547,1765
19,835,-399,-114,-23,-2805,-101,-1655,1643
20,-484,-11,-66,-95,-2550,201,-1944,?
21,-600,485,-15,-139,-2286,227,-2174,?
22,188,?,18,-195,-1971,309,-2549,864
23,-283,1358,-46,-212,-918,295,-2792,621
24,538,?,-127,-271,-287,260,-2893,?
25,1637,1482,-95,-324,264,249,-2756,426
26,2156,1051,85,-303,551,215,-2483,1199
27,2191,298,324,-328,1474,293,-2408,1085
28,2410,-310,568,-221,2581,237,-2174,255
29,2150,-692,736,-61,3201,195,-1950,-214
30,986,-599,803,8,3284,146,-1877,-100
31,-1803,420,710,56,2428,117,-1816,-43
32,-4000,876,?,85,2231,99,-1718,-452
33,-3897,381,434,81,3493,89,-1735,-593
34,-3685,176,170,49,?,156,-1848,-267
35,-3412,21,-239,28,4000,170,-1853,251
36,-2879,-181,-804,5,?,213,-1916,491
37,-1787,-232,-922,-78,4000,140,-1962,621
38,-1556,-304,-702,?,4000,65,-1796,646
39,-2256,-413,-768,-237,4000,139,-1551,534
40,-1886,-667,-566,-287,4000,123,-1517,408
41,-2456,-661,-167,-310,4000,20,-1592,-21
42,-779,-530,136,-325,4000,87,-1616,-427
