@relation amp_5_ADL-brush-teeth

@attribute time-index numeric
@attribute x-axis numeric
@attribute y-axis numeric
@attribute z-axis numeric

@data
1,22,49,35
2,22,49,35
3,22,52,35
4,?,52,35
5,21,52,34
6,22,51,34
7,20,50,35
8,22,52,34
9,22,50,34
10,22,51,35
11,21,51,33
12,20,50,34
13,21,49,33
14,21,49,33
15,20,51,35
16,18,49,34
17,19,48,34
18,16,53,34
19,18,52,35
20,18,51,32
21,19,50,33
22,19,53,33
23,21,50,33
24,21,51,33
25,24,51,34
26,25,50,35
27,25,51,36
28,25,50,38
29,25,51,39
30,?,49,40
31,25,49,41
32,25,47,42
33,22,45,41
34,21,48,41
35,21,48,43
36,21,47,41
37,22,47,41
38,21,47,42
39,22,47,42
40,22,47,42
41,24,48,42
42,?,49,41
43,22,49,40
44,24,47,38
45,22,?,37
46,24,49,36
47,24,50,36
48,23,49,37
49,24,50,37
50,23,?,36
51,23,52,36
52,23,51,37
53,23,50,37
54,24,50,38
55,21,52,37
56,22,51,38
57,22,52,38
58,?,52,39
59,23,50,39
60,22,50,39
61,22,53,37
62,23,51,39
63,23,50,39
64,23,50,39
65,22,50,?
66,22,50,37
67,23,49,38
68,23,50,38
69,23,49,37
70,22,51,?
71,22,51,38
72,22,50,38
73,22,49,38
74,23,?,37
75,22,50,37
76,22,49,?
77,22,49,38
78,23,52,38
79,23,51,39
80,22,50,38
81,23,49,38
82,?,49,38
83,22,51,38
84,23,50,38
85,23,50,38
86,23,50,37
87,22,49,38
88,24,50,38
89,?,?,37
90,23,50,40
91,23,50,?
92,22,51,38
93,23,50,37
94,23,50,39
95,22,50,38
96,24,51,37
97,23,49,37
98,23,50,37
99,22,51,37
100,22,49,37
101,23,49,37
102,24,49,37
103,22,51,38
104,23,51,38
105,?,51,38
106,22,49,38
107,20,51,38
108,20,49,37
109,21,50,37
110,22,49,38
111,23,49,37
112,24,50,38
113,24,50,37
114,25,50,38
115,25,?,37
116,24,51,37
117,23,50,36
118,20,54,34
119,21,50,34
120,21,50,35
121,22,51,34
122,23,50,35
123,23,49,35
124,22,49,35
125,23,?,34
126,20,50,?
127,20,50,35
128,19,50,36
129,19,50,35
130,19,51,36
131,21,50,36
132,22,51,36
133,25,52,35
134,25,52,35
135,26,51,34
136,25,51,35
137,23,51,35
138,21,51,35
139,20,51,35
140,19,50,36
141,19,50,36
142,20,50,35
143,21,50,35
144,21,50,36
145,24,50,37
146,24,51,36
147,26,?,38
148,25,52,37
149,27,51,37
150,26,51,36
151,26,51,36
152,23,51,35
153,23,51,36
154,22,51,35
155,22,52,35
156,22,50,35
157,20,50,35
158,21,49,36
159,20,50,36
160,20,50,35
161,21,50,36
162,22,48,36
163,21,51,35
164,18,52,36
165,18,48,37
166,19,50,36
167,22,50,36
168,24,50,36
169,24,51,35
170,25,52,35
171,23,52,36
172,24,51,36
173,24,51,36
174,25,52,36
175,25,52,36
176,23,52,36
177,24,?,?
178,24,51,35
179,25,52,34
180,24,53,34
181,24,51,34
182,23,52,33
183,23,52,?
184,25,53,32
185,24,50,31
186,26,50,32
187,?,51,30
188,25,52,30
189,26,?,32
190,26,51,31
191,26,52,31
192,27,51,30
193,26,52,29
194,25,51,30
195,24,52,29
196,25,51,?
197,?,50,31
198,25,50,29
199,25,52,30
200,26,?,31
201,26,49,31
202,27,50,32
203,26,51,31
204,25,51,32
205,23,52,32
206,21,53,33
207,21,52,32
208,22,53,31
209,21,53,31
210,21,52,31
211,19,52,29
212,?,52,31
213,17,52,29
214,16,50,31
215,18,50,30
216,21,51,32
217,22,54,?
218,24,53,34
219,25,52,36
220,26,53,36
221,26,55,36
222,27,49,38
223,27,?,35
224,28,51,37
225,26,51,34
226,25,51,34
227,27,52,33
228,27,54,33
229,27,55,32
230,?,54,36
231,30,46,34
232,29,44,30
233,33,33,36
234,?,?,37
235,33,53,?
236,?,63,25
237,23,62,?
238,?,40,28
239,25,31,36
240,?,53,41
241,32,61,30
242,32,63,21
243,25,54,25
244,27,34,31
245,28,53,41
246,?,53,35
247,?,63,25
248,29,57,20
249,31,38,25
250,27,29,39
251,30,47,?
252,?,63,28
253,28,63,20
254,26,49,26
255,29,40,34
256,28,28,44
257,29,46,43
258,28,?,24
259,33,62,22
260,29,41,29
261,30,28,39
262,25,49,44
263,26,62,36
264,28,63,24
265,31,55,23
266,31,34,30
267,29,23,43
268,28,49,?
269,27,63,34
270,31,63,24
271,30,54,?
272,30,?,36
273,27,22,43
274,29,45,43
275,31,59,31
276,30,63,23
277,32,54,22
278,?,44,35
279,29,29,44
280,27,47,42
281,29,63,25
282,36,63,23
283,27,48,?
284,30,35,40
285,26,44,44
286,26,63,28
287,36,63,23
288,37,43,?
289,33,33,40
290,27,49,43
291,31,50,42
292,32,63,22
293,36,61,22
294,33,35,32
295,32,28,?
296,28,50,43
297,31,63,25
298,38,62,23
299,33,35,35
300,34,24,41
301,29,52,44
302,31,63,?
303,39,62,25
304,34,48,?
305,29,27,41
306,27,57,46
307,29,63,32
308,36,63,28
309,38,50,29
310,33,25,36
311,27,?,41
312,28,63,28
313,37,63,27
314,35,54,31
315,33,31,37
316,28,53,41
317,28,58,32
318,33,?,23
319,35,?,25
320,26,37,35
321,28,38,?
322,?,45,43
323,34,63,24
324,38,?,19
325,33,45,31
326,?,27,42
327,26,46,37
328,29,63,26
329,35,62,24
330,35,51,34
331,33,40,42
332,31,51,44
333,29,63,30
334,33,63,24
335,32,49,?
336,27,31,37
337,27,56,42
338,29,61,31
339,38,63,20
340,36,46,23
341,31,27,34
342,26,49,44
343,30,56,41
344,33,63,23
345,38,59,25
346,32,40,?
347,30,27,41
348,30,51,42
349,30,63,28
350,?,63,25
351,37,50,24
352,31,33,35
353,28,36,40
354,32,49,41
355,31,63,28
356,37,63,28
357,32,48,32
358,29,29,39
359,27,54,41
360,28,62,?
361,34,63,25
362,36,55,29
363,27,34,36
364,?,43,38
365,30,52,40
366,31,63,31
367,34,62,26
368,28,44,29
369,31,32,38
370,30,50,39
371,31,58,32
372,31,63,25
373,31,59,29
374,28,?,32
375,30,20,38
376,27,51,44
377,26,61,33
378,28,63,26
379,34,60,24
380,29,42,?
381,30,19,40
382,27,56,43
383,25,63,29
384,32,63,22
385,33,58,?
386,34,42,30
387,31,20,41
388,27,53,45
389,28,63,29
390,34,63,21
391,34,47,24
392,33,39,33
