@relation amp_5_ADL-climb-stairs

@attribute time-index numeric
@attribute x-axis numeric
@attribute y-axis numeric
@attribute z-axis numeric

@data
1,5,39,34
2,2,41,34
3,5,39,34
4,?,38,34
5,9,38,30
6,10,36,29
7,10,36,30
8,12,36,30
9,16,36,29
10,16,37,30
11,16,36,30
12,17,37,30
13,18,37,30
14,16,37,31
15,16,36,31
16,15,39,31
17,14,39,32
18,14,40,32
19,14,39,33
20,11,40,?
21,10,39,33
22,6,40,33
23,3,38,32
24,0,39,31
25,0,41,30
26,4,36,31
27,14,37,32
28,?,36,33
29,11,36,32
30,13,35,32
31,14,33,32
32,16,35,35
33,18,35,35
34,18,36,37
35,17,37,35
36,17,35,35
37,18,35,36
38,16,36,36
39,16,36,34
40,14,38,35
41,12,37,35
42,14,39,35
43,?,37,36
44,12,38,35
45,11,38,34
46,9,39,35
47,?,36,34
48,0,40,35
49,1,38,34
50,8,38,35
51,11,38,35
52,10,37,32
53,12,33,30
54,13,?,32
55,14,36,30
56,15,37,31
57,16,37,31
58,17,39,30
59,16,38,31
60,17,37,31
61,15,38,31
62,15,36,30
63,13,38,33
64,13,39,32
65,13,39,32
66,13,38,32
67,11,38,?
68,9,37,32
69,5,37,32
70,4,36,32
71,1,36,30
72,0,37,31
73,5,36,31
74,14,33,33
75,?,32,34
76,13,33,34
77,9,?,33
78,12,34,34
79,15,34,36
80,14,34,36
81,17,37,35
82,18,36,35
83,18,36,34
84,17,37,35
85,15,37,35
86,16,37,34
87,14,37,34
88,14,36,33
89,14,37,35
90,14,37,35
91,13,38,36
92,11,39,35
93,10,38,35
94,6,37,36
95,1,37,35
96,0,41,36
97,3,40,35
98,9,38,34
99,11,38,32
100,10,35,32
101,11,35,31
102,12,35,30
103,14,36,31
104,?,?,31
105,16,37,30
106,16,38,31
107,17,36,30
108,17,36,30
109,16,37,31
110,14,?,31
111,14,38,31
112,12,?,31
113,11,37,31
114,12,38,31
115,11,40,31
116,9,39,31
117,6,38,32
118,4,39,31
119,1,37,31
120,1,38,29
121,7,35,30
122,15,34,33
123,15,35,35
124,12,35,35
125,13,35,34
126,?,34,34
127,14,36,35
128,16,35,34
129,16,35,34
130,?,35,34
131,16,37,34
132,16,38,34
133,15,37,34
134,?,36,34
135,14,38,34
136,14,?,34
137,13,38,?
138,12,38,34
139,10,39,35
140,7,39,36
141,4,38,35
142,0,39,37
143,5,39,37
144,9,?,36
145,10,34,32
146,?,35,31
147,11,36,31
148,12,37,32
149,13,38,32
150,14,39,31
151,14,36,32
152,15,36,32
153,18,37,30
154,17,37,32
155,17,38,30
156,16,39,33
157,16,40,33
158,16,38,33
159,12,38,33
160,?,36,33
161,7,33,31
162,5,33,31
163,4,36,32
164,0,38,31
165,4,38,34
166,13,35,33
167,17,32,34
168,14,33,34
169,12,33,33
170,12,32,34
171,14,34,36
172,16,?,36
173,14,33,35
174,17,35,34
175,16,37,34
176,15,36,?
177,16,36,34
178,15,37,35
179,16,37,?
180,17,38,36
181,?,38,?
182,16,36,36
183,16,38,37
184,?,39,37
185,11,39,37
186,9,38,36
187,8,39,37
188,?,38,35
189,0,40,35
190,0,39,38
191,8,?,?
192,12,41,35
193,10,40,34
194,11,37,33
195,12,34,32
196,?,36,31
197,16,36,32
198,18,39,30
199,19,37,31
200,17,37,30
201,17,37,31
202,16,38,31
203,15,37,31
204,14,37,30
205,13,39,30
206,13,38,32
207,12,38,32
208,12,37,33
209,13,38,32
210,8,38,34
211,5,37,35
212,2,36,32
213,0,36,32
214,3,36,34
215,?,35,36
216,15,32,36
217,13,33,34
218,8,32,31
219,13,31,34
220,14,33,35
221,14,34,36
222,17,35,35
223,17,34,35
224,17,35,35
225,17,37,?
226,17,36,35
227,16,36,34
228,16,36,?
229,14,37,35
230,14,38,35
231,?,37,35
232,15,37,35
233,14,37,35
234,12,37,?
235,7,34,40
236,5,37,38
237,2,48,37
238,0,42,34
239,3,37,34
240,10,33,35
241,11,36,32
242,9,37,30
243,9,37,30
244,12,36,30
245,13,35,31
246,14,37,30
247,16,35,29
248,17,38,30
249,17,37,30
250,18,37,30
251,18,37,30
252,17,37,31
253,17,38,32
254,15,?,32
255,13,38,33
256,11,39,33
257,9,39,33
258,6,38,33
259,3,35,33
260,1,35,32
261,0,37,33
262,3,38,34
263,11,36,35
264,?,34,35
265,?,33,34
266,12,32,32
267,13,33,33
268,17,34,35
269,17,?,36
270,17,35,35
