@relation amp_5_istanbul-stock

@attribute time-index numeric
@attribute ISE-TL numeric
@attribute ISE-US numeric
@attribute SP numeric
@attribute DAX numeric
@attribute FTSE numeric
@attribute NIKKEI numeric
@attribute BOVESPA numeric
@attribute EU numeric
@attribute EM numeric

@data
1,0.035754,0.038376,-0.004679,0.002193,?,0,0.03119,0.012698,0.028524
2,0.025426,0.031813,0.007787,0.008455,0.012866,0.004162,?,0.011341,0.008773
3,-0.028862,-0.026353,?,-0.017833,-0.028735,0.017293,-0.035899,-0.017073,-0.020015
4,-0.062208,-0.084716,0.003391,-0.011726,-0.000466,-0.040061,0.028283,-0.005561,-0.019424
5,?,0.009658,-0.021533,-0.019873,-0.01271,-0.004474,-0.009764,-0.010989,-0.007802
6,-0.029191,-0.042361,-0.022823,-0.013526,-0.005026,-0.049039,-0.053849,-0.012451,-0.02263
7,0.015445,-0.000272,0.001757,-0.017674,-0.006141,0,0.003572,-0.01222,-0.004827
8,-0.041168,-0.035552,-0.034032,-0.047383,-0.050945,0.002912,-0.040302,-0.04522,-0.008677
9,0.000662,-0.017268,0.001328,-0.019551,-0.014335,-0.050448,0.030314,-0.01207,-0.023429
10,0.022037,?,0.007533,0.006791,0.006289,0.025453,0.004867,0.008561,0.010917
11,-0.022692,-0.044349,-0.054262,-0.01155,-0.009351,0.003239,?,-0.012045,-0.004029
12,-0.013709,-0.029661,?,-0.017834,-0.004171,-0.023411,-0.040899,-0.015088,-0.024107
13,0.000865,0.001529,0.042572,0.005011,-0.007729,-0.020561,0.033532,-0.003339,-0.005092
14,-0.003815,0.005043,-0.015278,-0.009841,-0.001898,0.018818,-0.016982,-0.006552,-0.003227
15,0.005661,-0.010008,0.005363,-0.00964,0.000074,-0.038808,0.006261,-0.00362,-0.008077
16,0.046831,0.061708,0.005538,0.034787,0.037891,-0.008182,0.009838,?,0.01032
17,-0.006635,0.010949,0.010866,-0.000798,-0.003475,0.048148,0.004922,-0.002642,0.006344
