@relation amp_5_occupancy-detection

@attribute time-index numeric
@attribute Temperature numeric
@attribute Humidity numeric
@attribute Light numeric
@attribute CO2 numeric
@attribute HumidityRatio numeric
@attribute Occupancy numeric

@data
1,21.76,31.133333,437.333333,1029.666667,0.005021,1
2,21.79,31,437.333333,1000,0.005009,1
3,21.7675,31.1225,434,1003.75,0.005022,1
4,21.7675,31.1225,439,1009.5,0.005022,1
5,21.79,31.133333,437.333333,1005.666667,0.00503,1
6,21.76,31.26,437.333333,?,0.005042,1
7,21.79,31.1975,434,1018.5,0.005041,1
8,21.79,31.393333,437.333333,1018.666667,0.005073,1
9,21.79,31.3175,434,1022,0.00506,1
10,21.79,31.463333,437.333333,1027.333333,0.005084,1
11,21.79,31.525,437.75,1047.75,0.005094,1
12,21.79,31.575,441.75,1049,0.005102,1
13,21.79,31.395,442,1061.5,0.005073,1
14,21.79,31.3925,441.75,1049,0.005073,1
15,21.79,31.5,441.5,1048,0.00509,1
16,21.815,31.5,438,1049.25,0.005098,1
17,21.815,31.4725,449.5,?,0.005093,1
18,21.89,?,449.5,?,0.005138,1
19,21.79,31.55,449.5,1059.5,0.005098,1
20,21.823333,31.73,447.666667,1072,0.005138,1
21,21.865,31.7225,449.5,1072.333333,0.00515,1
22,21.89,31.745,449.5,1075.333333,?,?
23,21.89,31.7675,449.5,1087,0.005165,1
24,21.89,31.7675,437.75,1083.25,0.005165,1
25,21.89,31.79,442.666667,1086.333333,0.005169,1
26,21.89,31.79,437.333333,1091,0.005169,?
27,21.89,31.89,439,1100,?,?
28,21.89,31.89,444,1101,0.005185,1
29,21.89,31.865,444,1107,0.005181,1
30,21.89,31.79,444,1110,0.005169,1
31,21.89,31.865,444,?,0.005181,1
32,21.89,31.73,444,1100,0.005159,1
33,21.89,31.7225,444,?,0.005158,1
34,21.89,31.7,444,1092.5,0.005154,1
35,21.89,31.695,436.5,1094,0.005153,1
36,21.89,?,434,1085.666667,0.005132,1
37,21.89,31.55,436.5,?,0.00513,0
38,21.89,31.36,?,1031,0.005099,0
39,21.89,31.125,432.75,977.5,0.00506,0
40,21.89,31.15,436.5,961.25,0.005064,1
41,21.89,31.063333,434,948,0.00505,1
42,?,30.77,429,913.25,0.005002,1
43,21.89,30.7675,432.75,882.5,?,1
44,21.89,30.945,429,884.5,0.00503,1
45,21.89,30.7925,429,899,?,1
46,21.89,30.77,432.75,888.25,0.005002,1
47,21.89,30.795,436.5,878.5,0.005006,1
48,21.89,30.8175,429,?,?,1
49,21.89,30.65,?,896.5,0.004982,1
50,21.89,30.7475,429,889.5,0.004998,1
51,21.89,30.763333,429,887.333333,0.005001,1
52,21.89,30.77,429,893.5,0.005002,1
53,21.89,30.445,429,832.5,0.004949,1
54,21.89,30.566667,429,829,0.004969,1
55,21.89,30.5,429,829.25,0.004958,1
56,21.89,30.575,429,850.5,0.00497,1
57,21.89,30.6,429,844,0.004974,1
58,21.89,30.55,429,840.25,0.004966,1
59,21.865,?,429,823.75,0.004958,1
60,21.89,30.6,429,824,0.004974,1
61,21.89,30.34,429,813,0.004931,1
62,21.89,30.356667,429,802,0.004934,1
63,21.865,30.3925,429,810.75,0.004932,1
