@relation amar-lower-limb

@attribute time-index integer
@attribute Recto-Femoral real
@attribute Biceps-Femoral real
@attribute Vasto-Medial real
@attribute EMG-Semitendinoso real
@attribute Flexo-Extension real

@data
1,-0.0548,-0.0015,0.042,0.0285,-9
2,0.0795,-0.0256,0.078,0.0397,-9
3,0.084,-0.0293,0.069,0.0345,-9
4,0.0802,-0.0203,0.0525,0.0345,-9
5,0.0847,-0.0008,0.0412,0.0337,-9
6,0.0937,0.009,0.0382,0.0082,-9
7,0.0892,0.006,0.0315,-0.0315,-8.9
8,0.0877,0.0105,0.0165,-0.042,-8.8
9,0.093,0.018,-0.0091,-0.0263,-8.7
10,0.0937,0.0277,-0.0285,-0.0181,-8.7
11,0.0945,0.0292,-0.0375,-0.0083,-8.5
12,0.0952,0.036,-0.0375,0.0082,-8.4
13,0.09,0.0532,-0.024,0.0285,-8.2
14,0.081,0.0667,0.0015,0.0375,-8.3
15,0.066,0.069,0.036,0.0322,-7.9
16,0.0442,0.06,0.0712,0.0292,-7.9
17,0.0232,0.0382,0.1027,0.0127,-7.8
18,0.0052,0.0127,0.1155,-0.0053,-7.7
19,-0.0113,0.0067,0.1215,-0.0181,-7.4
20,-0.03,-0.0128,0.1207,-0.0308,-7.4
21,-0.0405,-0.0503,0.1185,-0.0383,-7.2
22,-0.0473,-0.0608,0.117,-0.0428,-7.2
23,-0.0533,-0.0593,0.1132,-0.0278,-6.9
24,-0.063,-0.0608,0.1072,-0.003,-6.9
25,-0.1013,-0.0608,0.0817,0.0052,-6.8
26,-0.1433,-0.0458,0.051,0.0037,-6.6
27,-0.147,-0.0233,0.0502,0.0105,-6.8
28,-0.1043,-0.0091,0.0727,0.027,-6.5
29,-0.0465,0.0157,0.108,0.048,-6.4
30,-0.0278,0.051,0.1462,0.0585,-6.3
31,-0.039,0.0765,0.1305,0.0472,-6.4
32,-0.0518,0.0727,0.0877,0.0345,-6.3
33,-0.057,0.057,0.0457,0.024,-6.2
34,-0.048,0.0442,-0.0091,0.024,-6.2
35,-0.0278,0.03,-0.0503,0.0165,-6.2
36,-0.0158,0.0247,-0.0818,-0.0015,-6
37,-0.042,0.0165,-0.0915,-0.0113,-5.9
38,-0.0623,0.0157,-0.0945,-0.0143,-6
39,-0.0323,0.0157,-0.0945,-0.0023,-5.9
40,-0.0233,-0.0233,-0.093,0.003,-6.1
41,-0.0368,-0.0128,-0.0893,0.0127,-6.1
42,-0.0405,0.042,-0.0765,0.0142,-6.2
43,-0.075,0.0112,-0.078,0.0135,-6.3
44,-0.096,-0.0143,-0.0825,0.0232,-6.1
45,-0.0706,-0.0511,-0.0878,0.021,-6.5
46,-0.0443,-0.0885,-0.0908,0.0322,-6.4
47,-0.0181,-0.042,-0.0871,0.039,-6.5
48,0.0052,-0.0668,-0.0825,0.0052,-6.7
49,0.0195,-0.0871,-0.0765,-0.0263,-6.8
50,0.0442,-0.0638,-0.075,-0.0315,-6.8
51,0.0622,-0.093,-0.0743,-0.0653,-7
52,0.075,-0.0773,-0.0728,-0.0983,-7
53,0.0885,-0.024,-0.066,-0.0323,-7.4
54,0.0952,0.0277,-0.0525,0.033,-7.3
55,0.099,0.0525,-0.042,0.0187,-7.9
56,0.0975,0.048,-0.0383,-0.0233,-8
57,0.1012,0.0352,-0.039,-0.0675,-8.2
58,0.0975,-0.0068,-0.0443,-0.0706,-8.6
59,0.0937,-0.042,-0.0495,-0.042,-8.8
60,0.0847,-0.0338,-0.0511,-0.024,-9.1
61,0.072,0.0045,-0.0518,-0.0218,-9.6
62,0.0637,0.021,-0.0585,-0.0443,-9.8
63,0.048,0.0217,-0.06,-0.0503,-10.1
64,0.0307,0.0052,-0.057,-0.0578,-10.7
65,0.018,-0.0008,-0.0503,-0.0668,-10.8
66,0.0127,0.039,-0.0443,-0.0443,-11.5
67,0.0052,0.0787,-0.0383,-0.0038,-11.8
68,-0.0105,0.0937,-0.0263,0.0225,-12.2
69,-0.0285,0.0315,-0.0113,0.0285,-12.6
70,-0.0315,-0.057,0.0067,0.0337,-12.8
71,-0.0361,-0.0473,0.0165,0.027,-13.4
72,-0.042,-0.0023,0.012,0.027,-13.6
73,-0.0346,-0.0203,0.0067,0.0285,-14
74,-0.0278,-0.042,-0.0008,0.0247,-14.3
75,0.0007,-0.0511,0.0007,0.036,-14.5
76,0.0277,-0.0218,0.0082,0.0495,-14.9
77,0.033,0.0315,0.0247,0.0577,-15.1
78,0.0645,0.0397,0.0532,0.0495,-15.2
79,0.0952,0.0525,0.0787,0.0382,-15.5
80,0.0675,0.054,0.1155,0.03,-15.7
81,0.0435,0.0525,0.159,0.0232,-16
82,0.0495,0.0652,0.1687,0.0405,-16.2
83,0.0435,0.063,0.1507,0.0472,-16.1
84,0.036,0.0532,0.1387,0.0307,-16.2
85,0.012,0.027,0.1207,0.0187,-16.3
86,-0.0158,-0.0135,0.0892,0.0045,-16.6
87,-0.027,-0.0743,0.06,-0.0053,-16.7
88,-0.0008,-0.0893,0.042,-0.0046,-16.6
89,0.0427,-0.0338,0.0397,0.0022,-16.7
90,0.0615,-0.021,0.0532,0,-16.7
91,0.0592,-0.039,0.0622,-0.0173,-16.3
92,0.0405,-0.0218,0.0555,-0.0308,-16.5
93,0.024,0.0247,0.0442,-0.0315,-16.4
94,0.0067,0.036,0.0255,-0.0143,-16.2
95,-0.0046,0.0165,0.0082,-0.0015,-16
96,-0.0143,0.0255,-0.0053,0.024,-15.8
97,-0.0225,0.0457,-0.0195,0.0502,-15.7
98,-0.0308,0.072,-0.021,0.0465,-15.5
99,-0.048,0.099,-0.024,0.0427,-15.3
100,-0.0533,0.099,-0.0285,0.0352,-15.3
101,-0.048,0.0802,-0.0218,0.0352,-14.9
102,-0.0428,0.0427,-0.0173,0.0345,-14.8
103,-0.039,0.0007,-0.0218,0.0105,-14.8
104,-0.0443,0.0045,-0.0368,-0.0173,-14.4
105,-0.057,0.015,-0.0511,-0.057,-14.6
106,-0.06,-0.042,-0.0638,-0.0953,-14.3
107,-0.0675,-0.1763,-0.0645,-0.1133,-14.2
108,-0.0743,-0.273,-0.0653,-0.1043,-14.3
109,-0.0706,-0.2175,-0.0803,-0.0698,-13.9
110,-0.0638,-0.186,-0.0825,-0.0615,-14.1
111,-0.0578,-0.1335,-0.0691,-0.0668,-13.6
112,-0.0548,-0.0495,-0.0675,-0.057,-13.9
113,-0.0473,-0.0608,-0.084,-0.0308,-13.9
114,-0.0398,0.0007,-0.093,-0.0053,-13.8
115,-0.0368,0.027,-0.09,-0.0008,-13.5
116,-0.0346,0.03,-0.0878,0.0292,-13.8
117,-0.0338,0.0517,-0.093,0.057,-13.5
118,-0.0405,0.0622,-0.093,0.048,-13.9
119,-0.0375,0.0697,-0.0803,0.0382,-13.6
120,-0.0105,0.0382,-0.0578,0.0187,-13.6
121,0.0195,0.018,-0.0308,0.0112,-13.7
122,0.0307,-0.0015,-0.0233,0.0135,-13.5
123,0.033,0.0232,-0.0353,0.0195,-13.7
124,0.036,0.027,-0.0585,0.0202,-13.6
125,0.0405,0.0292,-0.075,0.0172,-13.5
126,0.0457,0.0345,-0.0615,0.0202,-13.5
127,0.0352,0.0285,-0.0383,0.0195,-13.5
128,0.0262,0.03,-0.0218,0.0202,-13.4
129,0.039,0.0202,-0.0128,0.0172,-13.5
130,0.0472,0.0255,0.0082,0.0127,-13.5
131,0.0435,0.021,0.0405,0.0127,-13.6
132,0.0352,0.0202,0.0607,0.0097,-13.5
133,0.0157,0.0142,0.0615,0.0067,-13.3
134,0.0105,0.0165,0.0652,0.0075,-13.5
135,0.0277,0.0232,0.078,0.012,-13.4
136,0.048,0.0232,0.0742,0.0165,-13.4
137,0.057,0.0232,0.0607,0.012,-13.2
138,0.0615,0.015,0.0502,0.0015,-13.2
139,0.0577,0.0082,0.0382,-0.003,-13.2
140,0.069,0.0007,0.0262,-0.0105,-13.1
141,0.1522,-0.0008,0.0232,-0.0143,-13.1
142,0.303,-0.0015,0.0262,-0.0053,-13
143,0.3382,0.0037,0.0277,0.0045,-12.9
144,0.2565,0.0105,0.0307,0.0075,-13
145,0.2205,0.0097,0.0292,0.0067,-13
146,0.1485,0.0052,0.024,-0.0023,-13
147,0.0997,-0.0008,0.0232,-0.0091,-13
148,0.0637,0.0007,0.0277,-0.0046,-12.8
149,0.0232,0,0.0367,0.0007,-12.9
150,0.0675,-0.003,0.0465,-0.0046,-12.8
151,0.1312,-0.0075,0.054,-0.0068,-12.8
152,0.1372,-0.0128,0.0607,-0.0053,-13.1
153,0.0915,-0.015,0.06,-0.0046,-12.6
154,0.027,-0.0113,0.057,-0.0008,-12.7
155,-0.0443,-0.0083,0.06,0.0015,-12.7
156,-0.0803,-0.0038,0.0712,0.003,-12.7
157,-0.1155,0.0015,0.0825,0.0045,-12.8
158,-0.1388,-0.0008,0.0705,0.0015,-12.7
159,-0.168,-0.003,0.0517,0.003,-12.7
160,-0.2003,-0.0038,0.042,0.0082,-12.6
161,-0.2213,-0.003,0.0255,0.0067,-12.6
162,-0.231,-0.0046,0.012,0.003,-12.6
163,-0.228,-0.0046,-0.0015,0.0007,-12.7
164,-0.231,-0.0046,-0.0165,-0.0068,-12.6
165,-0.222,-0.0053,-0.0263,-0.0083,-12.7
166,-0.2093,-0.0053,-0.0323,-0.0046,-12.6
167,-0.1845,-0.0068,-0.0368,-0.0015,-12.5
168,-0.1748,-0.0068,-0.0443,-0.0038,-12.7
169,-0.1598,-0.0098,-0.045,-0.0068,-12.3
