@relation apie-lower-limb

@attribute time-index integer
@attribute Recto-Femoral real
@attribute Biceps-Femoral real
@attribute Vasto-Medial real
@attribute EMG-Semitendinoso real
@attribute Flexo-Extension real

@data
1,0,0.0052,0.0007,-0.003,-4.6
2,-0.0015,-0.0068,0.003,-0.0091,-4.5
3,-0.0053,-0.0458,-0.0008,-0.0098,-4.6
4,-0.0068,-0.0398,-0.0008,-0.0068,-4.6
5,-0.003,-0.0368,-0.0038,-0.0046,-4.5
6,0,-0.039,-0.003,-0.0015,-4.7
7,0,-0.0128,0.0022,-0.0008,-4.6
8,-0.0015,-0.0128,0.0015,-0.003,-4.6
9,-0.0015,-0.0158,0.0007,-0.0015,-4.5
10,0.0045,-0.0143,0.0022,-0.0015,-4.6
11,0.0015,-0.0053,0.0045,0.0045,-4.7
12,-0.0046,0.003,0.003,0.0045,-4.5
13,-0.0046,-0.0015,0.0015,0.0045,-4.7
14,-0.003,0.0052,0.0007,0.0067,-4.6
15,-0.0015,0.0052,-0.0015,0.006,-4.8
16,-0.0046,0.0067,0.0007,0.003,-4.6
17,-0.0015,0.006,-0.003,0.003,-4.6
18,-0.0008,0.006,-0.0046,0.0052,-4.6
19,0.0007,0.0082,-0.003,0.0067,-4.8
20,0.0037,0.0075,-0.0046,0.0112,-4.5
21,0.0045,0.0052,0,0.0097,-4.8
22,0.0015,0.003,0.0022,0.0045,-4.5
23,0.0022,0.003,0.0007,0.0007,-4.8
24,0.0015,0.0022,0.0015,-0.0015,-4.5
25,0.0015,0.0015,0.0015,-0.0068,-4.6
26,0.0045,-0.0068,-0.0015,-0.0083,-4.4
27,0.0075,-0.0158,-0.0015,-0.003,-4.8
28,0.009,-0.0105,-0.003,0,-4.6
29,0.0052,0.0127,-0.0038,0,-4.5
30,0.003,0.033,-0.0038,0.0022,-4.5
31,0.0007,0.0255,-0.003,0.003,-4.7
32,-0.003,0.0097,-0.003,0.0015,-4.5
33,-0.0023,0.012,-0.0015,0.003,-4.6
34,-0.0046,0.0157,0.0007,0.0045,-4.6
35,-0.0083,0.0142,0.003,0.0037,-4.6
36,-0.012,0.0097,0.0045,0.0007,-4.5
37,-0.0135,-0.0046,-0.0008,-0.0008,-4.6
38,-0.0083,-0.0091,-0.0008,-0.0008,-4.5
39,-0.003,-0.0218,0.003,-0.0038,-4.7
40,0.0015,-0.0315,0.0037,-0.0015,-4.6
41,0.0052,-0.0053,0.0037,0.0022,-4.6
42,0.0082,0.0007,0.003,0.0015,-4.6
43,0.006,-0.0015,0.003,-0.0046,-4.5
44,0.0007,0.0075,0.0022,-0.0038,-4.7
45,-0.0038,0.0082,0.0022,0.0015,-4.5
46,-0.0091,0.0135,0.0037,0.009,-4.7
47,-0.0068,0.0112,0.0052,0.0127,-4.6
48,-0.0008,0.0015,0.0037,0.0112,-4.5
49,0.006,-0.0008,-0.0008,0.0082,-4.7
50,0.0052,0.009,-0.0008,0.0075,-4.7
51,0.0022,0.0127,0.0015,0.003,-4.6
52,0.003,0.0075,-0.0008,-0.0046,-4.6
53,0.0015,-0.0008,-0.003,-0.012,-4.5
54,0.003,-0.021,-0.003,-0.0158,-4.7
55,0.0135,-0.0346,-0.0046,-0.0135,-4.7
56,0.018,-0.0293,-0.0053,-0.0083,-4.6
57,0.009,-0.0143,-0.0046,-0.0038,-4.5
58,0.0075,-0.0053,-0.003,-0.0015,-4.7
59,0.0045,-0.0046,-0.0046,-0.0008,-4.6
60,0.003,-0.0015,-0.003,0.003,-4.8
