@relation aden-lower-limb

@attribute time-index integer
@attribute Recto-Femoral real
@attribute Biceps-Femoral real
@attribute Vasto-Medial real
@attribute EMG-Semitendinoso real
@attribute Flexo-Extension real

@data
1,0.0082,-0.0015,-0.0158,-0.0008,-30
2,-0.0023,-0.0053,-0.0218,-0.0008,-29.7
3,-0.0135,-0.003,-0.0218,0,-29.4
4,-0.0128,-0.0023,-0.0256,0.0015,-29.5
5,-0.0046,-0.0023,-0.024,0.003,-29.3
6,0,-0.003,-0.012,0.003,-29.1
7,0.0022,-0.0008,0.0165,0.003,-29.1
8,0.003,-0.0008,0.0322,0.0015,-28.8
9,-0.0038,0.0015,0.0292,0.0045,-28.8
10,-0.0083,0.0052,0.0277,0.0067,-28.5
11,-0.0083,0.003,0.024,0.0037,-28.8
12,0.0157,0.0007,0.0157,0.0045,-28.4
13,0.0442,0.0015,0.0075,0.0052,-28.4
14,0.0465,0.0015,0.0037,0.0022,-28.1
15,0.021,-0.0008,-0.0015,0.0007,-28.1
16,0.003,0.0007,-0.0053,0.0015,-28.1
17,-0.012,0.003,-0.0046,0.0007,-28.1
18,-0.0218,0.0022,-0.006,0.0022,-27.9
19,-0.0128,-0.0015,-0.0075,0.003,-27.7
20,-0.0105,0.0007,0.003,0.0015,-27.5
21,-0.0068,0.0045,0.0157,0.003,-27.5
22,-0.0046,0.006,0.018,0.0015,-27.5
23,-0.003,0.0037,0.018,0.0022,-27.3
24,-0.0075,-0.0008,0.021,0.0007,-27.1
25,-0.015,-0.0015,0.018,-0.0008,-27.4
26,-0.0105,-0.0015,0.0105,-0.0008,-27
27,-0.0053,-0.0015,0.0097,-0.0008,-26.9
28,-0.0008,0.0007,0.0105,0.0015,-26.8
29,-0.006,0.0007,0.0097,0.0007,-26.7
30,-0.0256,-0.0046,0.003,-0.0015,-26.6
31,-0.0361,-0.0083,0.0015,-0.003,-26.6
32,-0.033,-0.0091,0.0015,-0.0008,-26.3
33,-0.0346,-0.0083,0.003,0.003,-26.1
34,-0.03,-0.0046,0.006,0.0045,-26.1
35,-0.0128,0.0007,0.0052,0.0067,-26.2
36,0.0007,0.0015,0.0052,0.0037,-25.8
37,0.0082,0.0007,0,0.0045,-26.1
38,0.0127,0.003,-0.0023,0.0052,-25.5
39,0.0217,0.0037,-0.003,0.003,-25.8
40,0.0255,0.003,-0.0068,0.0045,-25.6
41,0.0307,0.003,-0.0075,0.0037,-25.6
42,0.0307,0.0015,-0.006,0.0037,-25.4
43,0.0187,-0.0023,-0.006,0.0037,-25.1
44,0.0045,-0.0068,-0.0105,-0.0015,-25.2
45,-0.0046,-0.0083,-0.0068,-0.003,-25
46,-0.012,-0.0098,0,-0.003,-25.1
47,-0.027,-0.0105,-0.0046,-0.003,-24.8
48,-0.0323,-0.0083,-0.0091,0.0015,-24.9
49,-0.0195,-0.0015,0.0037,0.0052,-24.6
50,0,0.0045,0.0217,0.0082,-24.4
51,0.012,0.009,0.0262,0.0105,-24.5
52,0.0217,0.0082,0.0202,0.0097,-24.3
53,0.0315,0.006,0.0105,0.0082,-24.3
54,0.0345,0.0045,0.0045,0.0067,-24
55,0.0352,0.003,-0.0038,0.0052,-24.1
56,0.0315,0.0015,-0.0143,0.0037,-24
57,0.0292,-0.0008,-0.0203,0.003,-23.8
58,0.027,0.0007,-0.0181,0.0045,-23.9
59,0.0217,0.0015,-0.0158,0.0052,-23.6
60,0.0142,0.0007,-0.0083,0.003,-23.5
61,-0.0113,-0.0008,0.0007,0.003,-23.3
62,-0.048,-0.0015,0.003,0.0022,-23.3
63,-0.075,-0.003,0.003,0.0015,-23.1
64,-0.093,-0.006,-0.0015,0.0037,-23.1
65,-0.0818,-0.0068,-0.0015,0.003,-23
66,-0.0263,-0.0091,-0.006,-0.0008,-23.1
67,0.0292,-0.0128,-0.012,-0.003,-22.7
68,0.039,-0.0091,-0.012,-0.0008,-22.8
69,0.015,-0.0046,-0.0135,0.003,-22.5
70,0.003,-0.0015,-0.015,0.003,-22.7
71,0.0082,-0.0015,-0.0203,-0.0008,-22.3
72,0.018,0.0022,-0.0195,-0.0015,-22.4
73,0.0292,0.009,-0.0158,0,-22.2
74,0.03,0.0082,-0.0181,0.0022,-22.2
75,0.0285,0.0052,-0.0173,0.003,-22.2
76,0.0187,0.0037,-0.0181,0.0022,-21.9
77,0.0135,0.003,-0.0158,0.0007,-22.1
78,0.0097,0.0007,-0.0083,-0.0015,-21.6
79,0.0082,0.0052,0.0037,-0.0008,-21.7
80,0.0127,0.0112,0.009,0.0015,-21.6
81,0.0082,0.012,0.003,0.0015,-21.5
82,0.0082,0.009,-0.0038,-0.0008,-21.4
83,0.0135,0.003,-0.0083,-0.003,-21.4
84,0.0157,-0.0015,-0.0046,-0.0068,-21.2
85,0.0165,-0.0046,-0.0046,-0.0083,-20.9
86,0.0127,-0.0098,-0.003,-0.0105,-21.1
87,-0.0008,-0.0083,0.0015,-0.0053,-20.9
88,-0.0105,-0.0053,0.0045,-0.003,-20.8
89,-0.0263,-0.0083,0.0165,-0.0046,-20.8
90,-0.0533,-0.0038,0.0285,-0.0038,-20.6
91,-0.0555,-0.003,0.0307,-0.0046,-20.6
92,-0.0413,-0.0135,0.0202,-0.0046,-20.6
93,-0.0353,-0.0105,0.0142,0.0015,-20.3
94,-0.0248,-0.0015,0.0105,0.0067,-20.3
95,-0.0008,0.0007,0.0007,0.0067,-20.1
96,0.0142,-0.0023,0.003,0.0037,-20.2
97,0.015,-0.0015,0.0157,0.0007,-20
98,0.0165,0.0015,0.0082,-0.0008,-19.9
99,0.0202,0.0045,-0.0008,-0.0008,-19.9
100,0.0217,0.003,0.0045,-0.0015,-19.7
101,0.012,0.003,0.0105,0.0007,-19.8
102,-0.0098,0.0052,0.0082,0.0007,-19.4
103,-0.015,0.0052,0.003,0.0007,-19.7
104,-0.0113,0.0067,0.0037,0.0045,-19.4
105,0.0112,0.006,-0.0008,0.003,-19.5
106,0.0765,0.0015,-0.012,-0.0008,-19.4
107,0.0727,-0.0053,-0.0165,-0.0046,-19.4
108,-0.0046,-0.012,-0.0173,-0.0083,-19.1
109,-0.0503,-0.0165,-0.0218,-0.0105,-19.1
110,-0.0788,-0.0165,-0.0263,-0.0068,-19.1
111,-0.0645,-0.0098,-0.0195,0.0007,-18.9
112,-0.0368,-0.0053,-0.0053,0.0037,-18.9
113,-0.0218,-0.003,0.0097,0.0037,-18.7
114,0.0045,0.0022,0.0195,0.0082,-18.7
115,0.0097,0.0097,0.0262,0.0105,-18.7
116,0.0195,0.0127,0.027,0.0127,-18.3
117,0.0232,0.0112,0.0232,0.0082,-18.5
118,0.018,0.009,0.0202,0.0015,-18.3
119,0.0157,0.0045,0.0142,-0.0008,-18.3
120,0.0165,0.0015,0.0067,-0.0008,-18.2
121,0.0217,0.003,0.0015,0,-18.1
122,0.0217,0.0052,0.0052,-0.0008,-18
123,0.015,0.0045,0.009,-0.0038,-17.8
124,0.0045,-0.0015,0.015,-0.0053,-18
125,-0.012,-0.0068,0.0127,-0.006,-17.6
126,-0.0398,-0.0075,0.0127,-0.0046,-17.8
127,-0.0495,-0.0098,0.018,-0.0038,-17.7
128,-0.0315,-0.0158,0.0142,-0.003,-17.6
129,-0.0023,-0.0181,0.0112,0.0007,-17.6
130,0.018,-0.012,0.0007,0.0067,-17.4
131,0.0255,-0.0098,-0.024,0.012,-17.4
132,0.0217,-0.0098,-0.0503,0.0157,-17.3
133,0.0225,-0.0053,-0.0645,0.018,-17.3
134,0.024,-0.0015,-0.0638,0.018,-17.3
135,0.012,0.0052,-0.0436,0.018,-17.2
136,-0.006,0.009,-0.0128,0.0165,-17
137,-0.0128,0.0105,-0.003,0.0127,-16.9
138,-0.0165,0.0157,-0.0046,0.0127,-17
139,-0.0203,0.0165,-0.0046,0.012,-16.7
140,-0.0038,0.015,0.0105,0.0067,-16.7
141,0.0217,0.0127,0.0292,-0.003,-16.6
142,0.0367,0.0127,0.033,-0.0105,-16.7
143,0.033,0.0127,0.0285,-0.0083,-16.6
144,0.0165,0.0052,0.0127,0.0082,-16.4
145,0.0015,0.0015,0.0067,0.0307,-16.2
146,-0.0046,-0.0046,0.0105,0.0405,-16.3
147,-0.0105,-0.0091,0.0052,0.039,-16.1
148,-0.0233,-0.0143,-0.0053,0.0382,-16.2
149,-0.0346,-0.0218,-0.0218,0.0292,-16
150,-0.0488,-0.0218,-0.0248,0.024,-16.2
151,-0.0428,-0.0105,-0.0248,0.024,-15.9
152,-0.0143,0.0075,-0.0308,0.0165,-16.1
153,0.021,0.0105,-0.0315,0.0202,-15.7
154,0.0435,0.0015,-0.0225,0.0262,-15.8
155,0.0397,-0.0008,-0.0181,0.0232,-15.6
156,0.0277,-0.003,-0.0105,0.018,-15.7
157,0.0307,-0.0008,0.0157,0.0082,-15.5
158,0.0367,-0.0015,0.0405,-0.0008,-15.4
159,0.0232,-0.0046,0.0397,-0.0113,-15.4
160,0.012,-0.0128,0.0195,-0.0218,-15.3
161,0.0022,-0.021,0.0007,-0.0256,-15.1
162,-0.0293,-0.0233,-0.0075,-0.033,-15.3
163,-0.0555,-0.015,-0.0158,-0.033,-14.9
164,-0.048,0.0097,-0.0195,-0.024,-15.1
165,-0.0128,0.024,-0.0278,-0.0188,-14.9
166,0.0037,0.0157,-0.0293,-0.0181,-14.9
167,-0.0046,0.009,0.0015,-0.0173,-14.6
168,-0.0135,0.0097,0.0202,-0.0218,-14.7
169,-0.021,0.0067,0.0142,-0.0263,-14.7
170,-0.0285,0.0015,0.012,-0.0263,-14.5
171,-0.0473,-0.0008,0.0112,-0.024,-14.4
172,-0.063,-0.003,0.0022,-0.0248,-14.2
173,-0.0465,-0.0105,-0.0008,-0.0278,-14.4
174,-0.0368,-0.0158,0.0067,-0.027,-14.2
175,-0.0346,-0.012,0.015,-0.0195,-14.2
176,-0.0008,-0.0008,0.024,-0.0135,-14.1
177,0.0292,0.0045,0.0307,-0.012,-14.1
178,0.0405,0.0082,0.0195,-0.0105,-13.8
179,0.0532,0.0105,-0.0008,-0.0135,-13.8
180,0.0592,0.0075,-0.0098,-0.0181,-13.8
181,0.0637,0.009,-0.0173,-0.0165,-13.8
182,0.0525,0.0105,-0.0128,-0.0165,-13.5
183,0.0277,0.0075,-0.0091,-0.015,-13.6
184,0.0045,0,-0.0128,-0.0188,-13.3
185,-0.015,-0.0098,-0.0135,-0.0248,-13.5
186,-0.0203,-0.0158,-0.0113,-0.024,-13.1
187,-0.0256,-0.0181,-0.0038,-0.0233,-13.3
188,-0.024,-0.0098,-0.0091,-0.0195,-13.1
189,-0.024,-0.0015,-0.0181,-0.0195,-13.1
190,-0.0188,0.003,-0.0263,-0.0173,-13
191,-0.0083,0.0067,-0.0233,-0.0135,-13
192,-0.0233,0.0082,0.0082,-0.0135,-12.8
193,-0.0181,0.0105,0.0247,-0.0143,-12.8
194,0.0135,0.0105,0.0315,-0.0225,-12.6
195,0.018,0.0067,0.0367,-0.027,-12.8
196,0.0082,-0.0008,0.0285,-0.0293,-12.5
197,0.0052,-0.0091,0.0187,-0.0278,-12.5
