@relation EMGP—clapping-n

@attribute time-index integer
@attribute ch1 integer
@attribute ch2 integer
@attribute ch3 integer
@attribute ch4 integer
@attribute ch5 integer
@attribute ch6 integer
@attribute ch7 integer
@attribute ch8 integer

@data
1,-85,22,-259,-68,282,-37,-33,-175
2,-79,31,-263,-92,320,-35,-67,-122
3,-66,43,-202,-30,184,-24,-49,-104
4,-79,-6,-123,-13,-121,-20,-68,-117
5,-86,13,-38,-29,-338,-30,-80,-109
6,-99,30,-10,16,-360,-11,-44,-109
7,-197,37,21,-16,-360,-13,-8,-155
8,-301,24,83,-78,-282,-36,41,-206
9,-386,-5,60,-114,-240,-24,16,-223
10,-488,2,54,-114,-130,-9,31,-178
11,-352,2,63,-137,-78,0,16,-140
12,-61,-20,-39,-124,-180,-14,21,-164
13,147,-55,-100,-85,-223,-6,23,-132
14,395,-70,-82,-51,-246,12,39,-109
15,530,-65,-133,-28,-132,2,61,-109
16,592,-4,-172,-49,-103,13,20,-99
17,494,44,-204,-35,-162,21,-13,-101
18,382,4,-333,-1,-82,-6,-30,-105
19,315,-6,-281,30,33,20,-40,-109
20,122,66,-116,38,70,48,-53,-87
21,-10,58,-114,18,9,36,-69,-66
22,-144,41,-40,26,-40,49,-101,-47
23,-201,66,3,23,-86,38,-96,-9
24,-171,40,26,-3,-60,54,-112,-13
25,-132,53,93,-25,-76,67,-138,-9
26,-90,45,124,-17,-139,59,-143,-1
27,-66,29,138,-36,-68,58,-116,-9
28,-104,8,85,-37,3,42,-109,-40
29,-86,43,42,1,-37,44,-90,-36
30,-36,87,76,18,-45,57,-15,-39
31,-40,58,140,40,-16,68,6,-147
32,-25,37,97,43,-23,47,50,-61
33,-97,-10,72,63,-48,31,72,76
34,-41,18,40,26,-5,58,86,110
35,54,27,-45,18,54,71,114,69
36,54,1,-76,-28,34,61,107,-136
37,95,2,-35,-65,37,49,120,-166
38,66,-11,-70,-50,60,34,158,-151
39,25,-18,-96,-23,86,36,175,-195
40,19,-10,-114,-15,95,24,181,-6
41,27,5,-190,-1,111,58,206,353
42,4,8,-234,30,97,59,225,604
43,0,58,-70,15,74,33,215,434
44,53,24,84,22,19,58,154,241
45,25,11,46,8,9,34,129,121
46,-36,18,93,5,35,36,116,-321
47,-1,-19,65,-1,16,24,95,-934
48,20,-35,105,2,55,28,119,-817
49,-63,-66,174,23,77,54,112,-234
50,-104,-59,116,31,114,12,107,-287
51,-94,-32,120,50,151,41,92,-380
52,-90,-32,113,30,188,34,54,81
53,-95,-20,76,15,204,29,45,369
54,-78,9,18,22,230,37,37,259
55,-60,-14,-17,-6,281,24,7,384
56,-36,-13,40,2,282,40,-39,279
57,-6,-7,8,2,273,17,-40,-104
58,-47,-28,-83,-3,257,33,-42,-109
59,-52,-33,5,12,257,3,-46,58
60,-64,-28,104,30,226,8,-54,84
61,-73,6,332,38,227,3,-71,163
62,-78,16,1159,37,237,15,-65,308
63,-59,15,1835,3,178,39,-64,499
64,-8,17,923,-38,139,30,-71,695
65,-7,-31,-129,-45,143,26,-123,586
66,15,-64,-829,-29,197,21,-146,581
67,62,-111,-1612,-19,214,11,-202,567
68,81,-49,-1811,-5,175,26,-310,499
69,40,48,-1673,59,129,47,-373,515
70,2,76,-1061,61,134,7,-484,515
71,-44,152,-739,46,179,26,-558,499
72,-40,136,-485,48,146,17,-602,469
73,-3,95,-120,61,49,12,-619,448
74,-51,78,-30,80,22,45,-679,423
75,-82,34,44,44,53,12,-798,459
76,-98,-8,84,10,7,-11,-892,361
77,-113,-5,278,18,-19,-22,-969,198
78,-71,-6,492,-8,-30,-3,-1030,120
79,4,-75,996,0,-38,12,-1114,120
80,17,-86,1127,-29,-61,-12,-1196,17
81,25,-93,987,-50,-62,3,-1262,-50
82,19,-94,936,-69,-102,7,-1337,-63
83,-13,-59,402,-72,-182,-18,-1511,-118
84,-48,33,28,-55,-132,10,-1649,-41
85,-70,113,-372,-83,-83,6,-1727,-9
86,-31,159,-450,-60,-34,-19,-1766,7
87,-25,208,-228,-72,-40,11,-1757,-25
88,-34,188,-149,-82,-74,5,-1728,-148
89,-36,141,87,-42,-67,-8,-1702,-193
90,23,86,-33,-14,-97,20,-1767,-113
91,60,26,-348,-3,-131,42,-1915,-148
92,32,-60,-682,27,-122,37,-2162,-201
93,52,-80,-875,51,-72,16,-2435,-187
94,7,-65,-759,49,-99,16,-2821,-260
95,2,-59,-650,38,-103,40,-3379,-224
96,-20,52,-482,22,-99,19,-3652,-207
97,-56,158,-277,23,-98,-6,-3497,-208
98,-6,189,-173,14,-60,34,-3130,-226
99,-12,129,-28,34,-61,29,-2667,-271
100,33,74,-5,24,-21,44,-2467,-248
101,85,33,215,19,-25,47,-2862,-276
102,71,-24,380,2,-40,19,-3277,-324
103,8,24,295,-46,-1,44,-3455,-287
104,-1,-5,372,-30,36,31,-3277,-341
105,-59,-23,325,-33,28,18,-2781,-378
106,-148,17,337,-31,51,26,-1944,-360
107,-123,-3,288,-9,159,42,-774,-492
108,-66,-19,217,-9,167,39,817,-427
109,17,1,215,-26,131,6,3103,-412
110,59,-5,166,-30,114,16,4000,-421
111,50,-31,62,-21,126,-6,4000,-325
112,12,-4,-12,-20,138,25,4000,-280
113,16,-13,364,-57,143,45,4000,-223
114,49,2,608,-103,143,43,4000,-270
115,25,46,543,-111,101,31,4000,-124
116,-3,38,467,-109,114,33,4000,-148
117,-46,65,280,-81,137,69,4000,-223
118,-75,67,164,-52,133,43,4000,-158
119,-76,-12,-43,-26,60,53,4000,-202
120,-82,-63,-238,-53,-21,54,4000,-113
121,-109,-68,-429,-75,-71,46,4000,-109
122,-130,-66,-556,-36,-84,43,4000,-70
123,-109,-91,-509,-45,-46,26,4000,-87
124,-46,-82,-479,3,19,33,4000,-60
125,-25,0,-324,15,97,24,4000,45
126,-29,-8,-136,27,15,32,3852,67
127,16,-41,150,40,-123,38,2760,82
128,14,-65,923,-4,-167,33,1605,80
129,-3,-40,1615,25,-160,41,561,99
130,-45,-16,1127,4,-198,47,-451,117
131,-25,25,318,7,-206,41,-1308,312
132,51,81,-84,46,-167,47,-1999,352
133,44,29,-595,23,-188,39,-2568,203
134,88,-23,-629,-71,-137,25,-2899,149
135,101,-45,-133,-96,-102,5,-3130,-72
136,51,-41,-9,-65,-162,11,-3193,-185
137,50,-55,-454,-79,-203,37,-3112,-78
138,2,-38,-642,2,-189,8,-2925,133
139,-20,-20,-389,15,-131,16,-2614,434
140,-34,2,-66,0,-103,31,-2312,454
141,-34,47,132,9,-67,30,-2064,564
142,30,16,-330,-8,80,59,-1901,707
143,12,-30,-804,0,171,52,-1918,631
144,11,3,-969,11,207,42,-2096,473
145,-20,-3,-969,14,310,39,-2312,341
146,-51,-6,-579,-12,248,35,-2568,193
147,-27,25,-96,-32,241,24,-2821,-127
148,-23,-40,345,-83,296,26,-3053,-96
149,71,-63,400,-93,167,13,-3230,182
150,142,-91,322,-66,245,24,-3376,269
151,82,-94,248,-28,196,36,-3455,199
152,31,-26,-35,2,93,35,-3525,139
153,41,3,-56,-17,61,37,-3444,94
154,-3,19,191,-8,13,30,-3326,62
155,29,-56,714,-12,53,42,-3106,85
156,9,-75,476,-56,8,10,-2781,89
157,-42,-24,-46,-65,51,19,-2401,15
158,-38,-15,-257,-42,68,45,-2028,-50
159,-25,8,-562,-57,56,33,-1757,-37
160,21,-16,-503,-25,61,30,-1517,11
161,-5,-7,-482,-9,40,42,-1376,124
162,-30,17,-393,-61,-9,15,-1262,225
163,-39,-12,-317,-79,-30,-13,-1191,202
164,-42,27,-10,-79,-5,-1,-1136,145
165,-45,64,523,62,-31,17,-1124,53
166,-19,60,758,205,-23,10,-1136,-221
167,-37,73,557,154,-18,13,-1113,-415
168,-61,63,361,66,-9,23,-1076,-248
169,-32,35,217,44,13,17,-1055,-226
170,-31,14,-29,-6,-7,20,-969,-198
171,-41,25,-30,-63,-16,-3,-876,-95
172,-29,26,-32,-68,-41,-9,-745,-219
173,-23,24,128,-28,-28,31,-631,-43
174,-23,-2,381,37,-31,18,-523,149
175,5,-26,573,5,-38,10,-420,117
176,-4,-25,596,-69,-36,32,-401,-20
177,11,-32,349,-105,-43,39,-363,-251
178,-24,2,164,-100,-48,48,-337,-593
179,-35,24,174,-76,-23,40,-324,-1115
180,-16,20,266,-44,0,40,-290,-1039
181,-49,33,214,-18,0,28,-298,-450
182,-30,29,110,2,28,9,-277,-282
183,-19,-5,17,3,33,19,-261,-358
184,-2,-13,-116,-17,74,3,-185,-398
185,16,-5,-215,-1,73,21,-137,-370
186,0,5,-103,-32,62,13,-107,37
187,-28,25,10,-87,61,1,-42,117
188,9,2,-283,-74,51,-2,-33,62
189,22,1,-450,-61,72,-9,-14,91
190,-8,-4,-352,-46,56,0,-74,-202
191,13,3,-358,11,75,-16,-120,-404
192,-6,11,-269,-2,79,5,-140,-557
193,49,-9,-250,-3,63,29,-215,-415
194,73,5,-544,50,78,16,-263,-190
195,-4,32,-871,4,79,21,-275,-101
196,50,30,-507,46,72,35,-272,19
197,166,7,-247,77,60,11,-290,-19
198,135,12,-238,12,52,6,-312,128
199,-35,-16,142,12,69,21,-341,138
200,-80,-89,133,-53,38,9,-320,-11
201,-124,-122,278,-24,15,-8,-286,37
202,-195,-82,318,26,13,-2,-304,100
203,-210,-76,377,-15,18,20,-285,135
204,-180,-65,488,-90,29,17,-280,157
205,-74,9,322,-196,28,13,-280,182
206,-67,67,266,-146,28,1,-281,235
207,-82,54,269,-63,36,11,-252,275
208,-80,52,671,-19,36,12,-228,373
209,-79,95,988,4,18,29,-207,629
210,-66,95,533,29,32,34,-147,853
211,-41,95,71,45,52,21,-105,827
212,1,93,-45,95,43,10,-48,666
213,133,14,-257,100,7,17,-13,511
214,130,-32,-377,61,25,50,25,159
215,-10,-59,-544,17,5,37,61,-164
216,-1,-112,-438,-23,-45,41,94,-147
217,65,-84,-263,23,-21,31,157,46
218,137,-75,-60,-21,-25,40,179,286
219,118,-60,138,-51,-10,45,225,491
220,103,-77,77,-8,1,35,276,336
221,186,-42,123,-28,8,35,319,327
222,180,14,144,-60,26,38,402,485
223,241,81,570,-64,1,33,433,393
224,204,160,742,-23,7,20,498,400
225,73,94,120,-21,-10,29,539,359
226,86,52,-279,-21,-27,21,563,361
227,180,20,-430,2,-11,16,611,387
228,287,-15,-562,5,-7,34,588,361
229,155,-68,-905,6,-13,32,588,276
230,-164,-67,-1036,-30,-44,29,588,165
231,-559,-66,-737,-28,-44,25,563,-52
232,-798,-114,-816,16,-41,14,588,-154
233,-570,-46,-579,25,-40,6,637,78
234,-413,11,44,12,-43,7,673,6
235,-258,38,288,7,-29,14,708,-105
236,-105,72,26,22,-25,-6,779,-58
237,-30,-7,217,15,-49,12,820,35
238,80,-82,385,24,-28,25,860,140
239,178,-20,-36,28,-28,32,889,99
240,176,30,-163,16,-24,39,930,61
241,151,72,-430,20,-17,9,942,64
242,315,164,-517,55,-25,34,899,100
243,321,193,-285,96,-13,25,861,50
244,233,171,186,63,-7,33,740,76
245,74,127,345,-40,-1,45,628,108
246,-164,62,272,-94,-15,27,508,74
247,-283,29,410,-76,5,16,420,82
248,-367,50,337,-61,15,18,355,79
249,-384,5,311,-62,27,45,283,108
250,-295,-13,180,-64,19,24,254,165
251,-184,17,81,-41,5,37,199,181
252,25,-24,-139,-6,34,29,238,56
253,285,-31,-348,56,44,19,272,-17
254,473,-68,-368,64,60,29,267,-105
255,668,-66,-240,95,80,30,291,-210
256,603,-47,-78,93,64,40,228,-192
257,325,-63,68,36,39,29,124,-63
258,-50,-23,202,-14,80,30,4,108
259,-250,53,215,-95,91,27,-102,132
260,-246,103,345,-76,93,43,-177,79
261,-294,67,207,-35,89,39,-222,-13
262,-291,44,190,-41,64,20,-241,-79
263,-242,-11,337,-39,84,33,-271,-246
264,-7,-56,710,-4,58,34,-237,-356
265,226,-90,988,-23,75,19,-255,-287
266,416,-103,598,-79,63,4,-287,-256
267,448,-85,277,-57,25,16,-264,-271
268,228,-7,59,-71,52,10,-262,-262
269,16,32,-144,-76,34,6,-252,-253
270,-258,-16,-341,-89,53,23,-226,-254
271,-610,2,-671,-106,44,18,-166,-223
272,-749,32,-999,-144,8,13,-123,-278
273,-649,49,-969,-101,-34,31,-151,-317
274,-485,65,-645,84,-91,25,-182,-362
275,-199,26,-372,108,-123,10,-241,-352
276,16,-4,-81,130,-152,12,-346,-392
277,182,-31,7,124,-180,2,-420,-584
278,314,-53,201,27,-195,-2,-501,-417
279,322,-34,476,6,-162,-3,-612,-308
280,342,0,372,-48,-136,-11,-680,-388
281,408,26,331,-43,-51,-4,-798,-295
282,346,7,278,-46,53,-5,-901,-319
283,249,9,253,-47,171,18,-941,-287
284,346,33,936,22,302,30,-941,-253
285,342,90,3380,38,379,4,-933,-232
286,-55,91,4000,-9,403,18,-907,-207
287,-527,70,4000,-21,367,10,-875,-244
288,-832,85,2095,-45,358,23,-892,-221
289,-873,59,-285,-123,308,46,-878,-178
290,-533,-3,-2670,-119,225,32,-863,-99
291,-229,-191,-4000,-137,154,26,-825,-61
292,194,-375,-4000,-139,88,30,-733,-37
293,518,-426,-4000,-148,19,49,-657,-38
294,603,-440,-4000,-91,-35,66,-538,-69
295,977,-288,-3861,113,-32,49,-420,-139
296,1311,34,-2603,264,14,42,-318,-90
297,920,256,-1826,329,85,58,-159,107
298,319,359,-804,307,103,43,-54,125
299,42,383,-169,130,118,16,47,-34
300,-427,227,313,-19,140,34,156,-103
301,-571,203,866,-22,146,72,238,-25
302,-485,217,830,-77,129,61,274,37
303,-605,194,955,-63,111,32,276,-60
304,-598,154,899,0,88,35,244,-87
305,-505,72,882,-14,88,22,221,160
306,-435,118,841,-10,48,32,274,260
307,-432,79,784,-3,-1,46,271,172
308,-323,52,736,-5,-14,29,225,226
309,-191,25,651,-12,-8,21,221,361
310,-121,-10,598,-10,-18,34,250,391
311,-52,-32,533,-23,-75,17,311,358
312,-17,-43,533,-20,-49,23,368,410
313,14,-38,439,-52,-36,36,408,373
314,-4,-72,389,-75,-25,32,441,369
315,37,-36,337,-69,1,37,455,369
316,85,-74,322,-71,23,12,453,327
317,113,-105,315,-88,30,35,465,253
318,61,-85,311,-91,39,25,470,269
319,-41,-60,270,-67,22,18,455,434
320,-142,-44,164,-73,-7,31,464,355
321,-121,-53,170,-49,21,23,441,340
322,3,-66,152,-24,4,41,440,361
323,59,-112,148,-17,-5,19,428,373
324,133,-136,93,-30,-9,22,380,397
325,112,-122,35,-64,-16,21,368,304
326,120,-110,43,-46,-1,-2,331,304
327,50,-81,11,-61,2,29,315,277
328,-58,-64,-20,-86,-17,33,309,214
329,23,-40,-83,-75,-10,40,291,25
330,43,-16,-61,-55,-9,37,246,117
331,-6,0,-38,-26,-15,26,193,127
332,-65,26,-54,-1,-23,61,180,-116
333,-3,34,-42,21,-12,39,156,-103
334,48,29,-52,7,-9,21,142,46
335,64,-23,14,0,-47,13,141,59
336,80,-16,148,-28,-39,27,181,-17
337,44,62,253,-69,-66,21,181,23
338,90,49,195,-73,-92,-3,200,19
339,48,48,89,-30,-85,20,195,77
340,37,48,105,-7,-51,27,172,31
341,81,69,207,-21,41,10,176,27
342,68,67,304,-25,100,1,155,24
343,61,46,28,-21,52,14,111,-108
344,55,66,-183,-47,12,15,69,-98
345,39,36,-237,-115,28,15,98,-179
346,-17,20,-377,-68,10,9,87,-262
347,-9,21,-295,-26,-43,20,94,-215
348,-20,-34,-144,-18,-76,25,111,-25
349,-69,-79,-190,2,7,24,134,-118
350,-79,-67,-314,-5,23,22,105,-228
351,-12,-22,-106,-25,-7,18,49,-164
352,90,38,-55,-45,11,12,116,-205
353,127,51,-93,-39,-18,12,65,-129
354,100,44,-133,-75,-74,29,39,-174
355,85,30,-123,-38,-102,13,25,-195
