@relation EMGP—hugging-n

@attribute time-index integer
@attribute ch1 integer
@attribute ch2 integer
@attribute ch3 integer
@attribute ch4 integer
@attribute ch5 integer
@attribute ch6 integer
@attribute ch7 integer
@attribute ch8 integer

@data
1,12,-64,-104,-62,-32,-65,-42,1
2,147,-85,80,-47,-30,-478,-51,-116
3,220,-68,349,-62,-41,-1095,-30,-6
4,250,-30,380,-41,-31,-706,-52,21
5,149,-37,97,-45,-21,-454,-62,-78
6,138,-42,-101,-15,-58,-250,-35,-9
7,90,16,-190,-11,-22,14,-39,65
8,-11,67,-403,-60,-17,-171,-32,28
9,-37,62,-317,-43,-29,-10,-22,-42
10,-105,-12,-350,-42,-10,-143,-11,14
11,-270,-93,-292,9,0,49,-12,-18
12,-200,-159,-173,30,-12,167,-6,3
13,287,-166,-158,-30,-18,64,10,1
14,385,-138,-174,22,-5,183,18,0
15,442,-191,-538,71,2,119,20,-2
16,473,-150,-645,97,35,284,10,-31
17,309,-102,-502,74,17,284,16,10
18,99,-71,-595,-23,30,368,-2,11
19,-224,-27,-1264,-30,40,400,14,6
20,-386,33,-1612,-7,25,185,45,-8
21,-649,72,-374,-24,50,-4,56,12
22,-820,37,1089,-65,80,-32,50,-12
23,-836,33,2133,-69,67,-9,46,5
24,-740,40,2669,-57,44,-167,78,29
25,-493,59,2266,-12,64,-191,61,20
26,-163,55,1639,-5,63,-23,50,52
27,144,12,958,-14,61,95,73,54
28,530,22,307,7,73,77,52,46
29,1059,83,-316,32,76,90,82,42
30,1291,63,-749,53,67,-8,83,70
31,1071,72,-829,50,67,-80,53,41
32,691,78,-999,108,70,6,60,-23
33,377,103,-1036,97,47,72,45,7
34,-20,139,-662,41,81,81,43,122
35,-227,95,-437,27,68,80,46,121
36,-318,126,-300,-44,64,102,68,-154
37,-515,95,-220,-88,51,113,34,-264
38,-504,41,-225,-59,46,118,35,-51
39,-428,30,-164,-28,36,88,38,40
40,-303,-31,-281,30,28,78,18,153
41,-392,-54,-182,113,49,53,38,195
42,-641,-75,-29,81,32,8,54,59
43,-368,-86,16,60,43,29,50,-19
44,3,-62,81,50,17,9,41,-87
45,203,-46,137,-39,44,9,59,32
46,425,-34,207,-69,60,37,43,21
47,342,13,207,-123,19,7,36,-204
48,293,32,297,-126,34,9,22,-66
49,301,103,229,-90,52,30,26,201
50,277,146,-61,-121,58,31,46,78
51,257,109,-168,-97,53,69,19,-56
52,138,98,-26,-78,59,88,35,-148
53,64,44,63,-57,43,34,67,-156
54,79,23,150,-38,64,47,62,84
55,147,-37,139,-30,46,62,59,226
56,145,-111,14,-12,42,76,56,198
57,-39,-137,6,6,53,131,74,161
58,-181,-166,65,27,21,143,44,104
59,-132,-151,364,38,33,189,35,-83
60,-200,-181,516,56,51,165,32,-228
61,-365,-153,332,20,41,10,22,-78
62,-323,-48,248,-5,-1,-159,56,108
63,-371,38,299,27,14,-307,55,188
64,-386,73,368,16,19,-247,23,87
65,-193,93,307,8,14,-27,40,-170
66,-61,121,215,29,39,52,36,-461
67,45,103,77,6,19,96,-5,-301
68,102,103,-9,-26,20,152,7,114
69,212,115,11,-54,35,215,31,104
70,181,109,-53,-111,-3,172,39,212
71,0,110,-133,-114,0,-58,29,224
72,-136,87,-156,-84,10,-147,31,201
73,-175,41,-96,-29,-23,-84,33,170
74,-104,11,17,-8,-7,-195,1,-152
75,-42,-10,103,-14,-1,-202,0,-311
76,-44,8,6,11,-2,-18,-3,-257
77,-166,-12,37,-18,6,-15,-15,46
78,-154,-48,-39,12,-9,13,-24,95
79,-106,-7,-615,14,-5,48,4,85
80,-77,15,-1535,-25,12,56,4,153
81,-9,10,-2106,-10,8,96,-20,84
82,6,47,-1386,-14,-2,65,-4,134
83,129,34,-232,30,-29,62,22,100
84,202,45,764,31,-26,97,6,33
85,204,69,1175,39,9,73,-25,41
86,200,69,923,52,-15,99,-22,165
87,176,37,690,50,-13,140,-16,121
88,166,-3,490,40,4,130,13,91
89,129,41,402,3,3,180,22,117
90,133,13,271,28,11,198,15,62
91,188,-59,158,33,18,75,12,79
92,188,-135,-37,35,1,9,2,32
93,116,-153,-320,35,5,-77,13,5
94,90,-112,-485,56,17,-272,23,9
95,104,-96,-536,65,14,-173,8,-54
96,78,-112,-246,57,24,36,-12,-118
97,37,-133,-64,10,36,-5,19,-29
98,-56,-107,-118,-70,35,-119,9,-26
99,-119,-55,161,-59,15,-88,6,15
100,-205,-19,337,-57,22,-44,8,22
101,-345,55,144,-69,15,33,-6,-9
102,-337,113,-43,-75,5,104,26,21
103,-184,137,122,-75,9,71,6,-14
104,-243,144,478,-71,17,86,21,29
105,-396,99,545,-54,5,33,21,53
