@relation EMGP—punching-a

@attribute time-index integer
@attribute ch1 integer
@attribute ch2 integer
@attribute ch3 integer
@attribute ch4 integer
@attribute ch5 integer
@attribute ch6 integer
@attribute ch7 integer
@attribute ch8 integer

@data
1,139,-310,-4000,-114,1824,-1171,-4000,1533
2,798,-203,-4000,-318,3013,-1010,-4000,1597
3,1616,-78,-4000,-514,2813,-945,-4000,1598
4,1832,-66,-3935,-695,253,-912,-4000,1598
5,3514,-116,-2737,-724,-215,-875,-4000,1598
6,4000,-103,-1488,-812,1242,-802,-4000,1566
7,3560,-52,-362,-914,4000,-932,-4000,1533
8,1043,-65,2158,-591,4000,-1005,-4000,1561
9,-966,-85,4000,-283,4000,-940,-4000,1533
10,-2541,-40,4000,-120,1734,-1062,-4000,1476
11,-3001,-27,4000,130,-429,-1221,-4000,1417
12,-3489,-16,4000,191,-4000,-1316,-3664,1382
13,-3605,-73,4000,276,-4000,-1259,-3312,1346
14,-3163,-179,3629,227,-4000,-1261,-2109,1338
15,-2517,-314,1961,29,-4000,-1375,-1853,1307
16,-1723,-448,899,-22,-3213,-1290,-1523,1199
17,-674,-406,31,140,-1357,-1171,-1034,1207
18,312,-232,-1106,245,-3001,-1093,-1050,1264
19,1081,-173,-1882,335,-3148,-1070,626,1281
20,2328,-93,-1386,472,-2740,-991,1650,1325
21,2667,47,-22,386,-4000,-796,1866,1346
22,2601,48,1150,362,-4000,-718,2048,1395
23,3495,53,1436,178,-4000,-724,1866,1445
24,4000,48,1379,128,-4000,-706,1996,1460
25,4000,87,1184,223,-4000,-662,1129,1468
26,2790,107,764,115,-4000,-680,131,1566
27,74,43,149,209,-4000,-779,-619,1598
28,-2676,43,-1075,272,-4000,-722,185,1533
29,-4000,58,-2240,263,-4000,-659,2031,1391
30,-4000,71,-2735,206,-3653,-662,3268,1269
31,-4000,180,-2737,142,-3995,-589,4000,1138
32,-4000,224,-2667,139,-4000,-499,4000,1026
33,-4000,12,-2708,22,-4000,-264,4000,932
34,-4000,-19,-2710,-112,-3839,-115,3738,800
35,-1935,221,-2227,-198,-1333,-86,3168,695
36,1962,213,-1746,-185,339,-68,2711,604
37,4000,106,-1476,-84,2516,-112,3038,547
38,4000,45,-833,-147,4000,-35,3738,475
39,4000,-60,-2,-192,4000,2,3661,369
40,2648,-26,882,-151,4000,-12,3838,279
41,746,54,1509,-132,3659,-10,3475,221
42,-1194,93,1747,-29,3284,-41,2907,154
43,-2228,152,1639,69,3297,-15,2297,67
44,-2129,67,1379,105,3410,-47,1866,-31
45,-1365,16,911,15,4000,6,1569,-136
46,-1149,51,325,-50,4000,43,1084,-292
47,-1296,119,-314,-159,4000,72,1280,-415
48,-1235,117,-1085,-271,4000,134,1441,-540
49,-1410,21,-1101,-301,4000,189,1441,-659
50,-288,-23,-637,-315,4000,290,1278,-793
51,52,-60,-213,-287,2710,319,336,-931
52,567,-79,372,-238,1905,355,-473,-1070
53,1726,-111,903,-132,2320,325,-290,-1245
54,3070,-122,1161,-127,2316,260,74,-1404
55,3330,-102,957,-159,230,171,-50,-1577
56,2648,-19,484,-159,-898,66,-334,-1723
57,2987,57,280,-156,-14,-19,-485,-1902
58,3200,30,-92,-133,-1096,-14,25,-2034
59,3184,60,-372,-151,-1263,-16,-275,-2169
60,973,180,-263,-72,1930,-47,-1161,-2283
61,-1194,160,-82,150,4000,106,-1367,-2248
62,-2761,3,112,290,4000,143,-1649,-2201
63,-4000,-192,540,187,4000,-48,-1653,-2140
64,-3958,-337,1088,207,4000,1,-1588,-2035
65,-3530,-346,960,199,3949,80,-1048,-1788
66,-2387,-347,1119,113,1660,118,-123,-1465
67,-1556,-329,480,123,941,215,429,-1274
68,-354,-240,-1036,132,119,209,1011,-1143
69,855,-112,-1488,141,-124,286,1255,-1070
70,1244,-102,-1028,88,-1357,254,872,-1049
71,1498,-100,-248,43,-507,203,223,-1013
72,1160,-72,99,44,1669,135,-576,-1055
73,994,-81,882,38,1572,98,-1570,-1005
74,1441,-27,1387,37,1136,112,-1950,-846
75,1572,45,1633,48,2296,91,-1817,-708
76,1244,69,1314,77,3672,154,-1795,-587
77,593,95,280,118,3396,170,-1582,-464
78,-348,184,380,8,736,180,-1655,-344
79,-450,268,-24,23,-1357,89,-2115,-262
80,-66,326,-423,66,-1198,58,-2601,-188
81,177,237,-324,33,-264,80,-2679,-92
82,118,103,-209,34,606,70,-2735,-76
83,-81,7,-324,-40,-247,114,-2821,-42
84,61,-41,-875,-59,-1593,115,-2728,76
85,321,-12,-756,-48,-2189,215,-2739,209
86,200,22,-841,-13,-3065,300,-2846,352
87,-844,33,-749,-37,-4000,346,-3000,434
88,-1417,69,-582,-57,-3591,422,-2640,526
89,-1528,41,-303,-105,106,466,-2317,604
90,-1408,53,-84,-128,2048,533,-2642,686
91,-873,162,-192,-37,1982,587,-3106,817
92,-453,181,-275,-2,2422,640,-3924,877
93,-15,176,-383,95,2941,729,-4000,947
94,208,217,77,98,2047,713,-4000,1020
95,416,307,61,-7,1313,636,-4000,1071
96,329,288,-184,-87,2567,611,-4000,1045
97,458,227,-140,-128,2182,376,-4000,916
98,513,233,-190,-172,-356,-86,-4000,882
99,603,260,260,-366,-581,-506,-4000,882
100,725,282,777,-640,1995,-1141,-4000,800
101,603,317,1314,-645,2906,-1747,-4000,707
102,553,309,2474,-479,1213,-1701,-4000,808
