@relation ADL-climb-stairs

@attribute time-index integer
@attribute x-axis integer
@attribute y-axis integer
@attribute z-axis integer

@data
1,05,39,34
2,02,41,34
3,05,39,34
4,12,38,34
5,09,38,30
6,10,36,29
7,10,36,30
8,12,36,30
9,16,36,29
10,16,37,30
11,16,36,30
12,17,37,30
13,18,37,30
14,16,37,31
15,16,36,31
16,15,39,31
17,14,39,32
18,14,40,32
19,14,39,33
20,11,40,32
21,10,39,33
22,06,40,33
23,03,38,32
24,00,39,31
25,00,41,30
26,04,36,31
27,14,37,32
28,15,36,33
29,11,36,32
30,13,35,32
31,14,33,32
32,16,35,35
33,18,35,35
34,18,36,37
35,17,37,35
36,17,35,35
37,18,35,36
38,16,36,36
39,16,36,34
40,14,38,35
41,12,37,35
42,14,39,35
43,12,37,36
44,12,38,35
45,11,38,34
46,09,39,35
47,05,36,34
48,00,40,35
49,01,38,34
50,08,38,35
51,11,38,35
52,10,37,32
53,12,33,30
54,13,35,32
55,14,36,30
56,15,37,31
57,16,37,31
58,17,39,30
59,16,38,31
60,17,37,31
61,15,38,31
62,15,36,30
63,13,38,33
64,13,39,32
65,13,39,32
66,13,38,32
67,11,38,32
68,09,37,32
69,05,37,32
70,04,36,32
71,01,36,30
72,00,37,31
73,05,36,31
74,14,33,33
75,17,32,34
76,13,33,34
77,09,33,33
78,12,34,34
79,15,34,36
80,14,34,36
81,17,37,35
82,18,36,35
83,18,36,34
84,17,37,35
85,15,37,35
86,16,37,34
87,14,37,34
88,14,36,33
89,14,37,35
90,14,37,35
91,13,38,36
92,11,39,35
93,10,38,35
94,06,37,36
95,01,37,35
96,00,41,36
97,03,40,35
98,09,38,34
99,11,38,32
100,10,35,32
101,11,35,31
102,12,35,30
103,14,36,31
104,17,38,31
105,16,37,30
106,16,38,31
107,17,36,30
108,17,36,30
109,16,37,31
110,14,36,31
111,14,38,31
112,12,37,31
113,11,37,31
114,12,38,31
115,11,40,31
116,09,39,31
117,06,38,32
118,04,39,31
119,01,37,31
120,01,38,29
121,07,35,30
122,15,34,33
123,15,35,35
124,12,35,35
125,13,35,34
126,14,34,34
127,14,36,35
128,16,35,34
129,16,35,34
130,17,35,34
131,16,37,34
132,16,38,34
133,15,37,34
134,14,36,34
135,14,38,34
136,14,38,34
137,13,38,35
138,12,38,34
139,10,39,35
140,07,39,36
141,04,38,35
142,00,39,37
143,05,39,37
144,09,37,36
145,10,34,32
146,10,35,31
147,11,36,31
148,12,37,32
149,13,38,32
150,14,39,31
151,14,36,32
152,15,36,32
153,18,37,30
154,17,37,32
155,17,38,30
156,16,39,33
157,16,40,33
158,16,38,33
159,12,38,33
160,10,36,33
161,07,33,31
162,05,33,31
163,04,36,32
164,00,38,31
165,04,38,34
166,13,35,33
167,17,32,34
168,14,33,34
169,12,33,33
170,12,32,34
171,14,34,36
172,16,33,36
173,14,33,35
174,17,35,34
175,16,37,34
176,15,36,35
177,16,36,34
178,15,37,35
179,16,37,35
180,17,38,36
181,15,38,36
182,16,36,36
183,16,38,37
184,15,39,37
185,11,39,37
186,09,38,36
187,08,39,37
188,02,38,35
189,00,40,35
190,00,39,38
191,08,40,37
192,12,41,35
193,10,40,34
194,11,37,33
195,12,34,32
196,14,36,31
197,16,36,32
198,18,39,30
199,19,37,31
200,17,37,30
201,17,37,31
202,16,38,31
203,15,37,31
204,14,37,30
205,13,39,30
206,13,38,32
207,12,38,32
208,12,37,33
209,13,38,32
210,08,38,34
211,05,37,35
212,02,36,32
213,00,36,32
214,03,36,34
215,12,35,36
216,15,32,36
217,13,33,34
218,08,32,31
219,13,31,34
220,14,33,35
221,14,34,36
222,17,35,35
223,17,34,35
224,17,35,35
225,17,37,35
226,17,36,35
227,16,36,34
228,16,36,34
229,14,37,35
230,14,38,35
231,14,37,35
232,15,37,35
233,14,37,35
234,12,37,38
235,07,34,40
236,05,37,38
237,02,48,37
238,00,42,34
239,03,37,34
240,10,33,35
241,11,36,32
242,09,37,30
243,09,37,30
244,12,36,30
245,13,35,31
246,14,37,30
247,16,35,29
248,17,38,30
249,17,37,30
250,18,37,30
251,18,37,30
252,17,37,31
253,17,38,32
254,15,38,32
255,13,38,33
256,11,39,33
257,09,39,33
258,06,38,33
259,03,35,33
260,01,35,32
261,00,37,33
262,03,38,34
263,11,36,35
264,15,34,35
265,13,33,34
266,12,32,32
267,13,33,33
268,17,34,35
269,17,34,36
270,17,35,35
