@relation ADL-comb-hair

@attribute time-index integer
@attribute x-axis integer
@attribute y-axis integer
@attribute z-axis integer

@data
1,11,36,34
2,11,36,34
3,11,36,34
4,11,35,34
5,10,37,34
6,13,34,33
7,10,36,33
8,12,36,34
9,12,36,33
10,12,36,34
11,12,35,34
12,11,34,33
13,11,36,33
14,12,36,34
15,12,36,33
16,12,36,33
17,12,35,33
18,12,36,34
19,12,36,33
20,10,36,33
21,11,35,33
22,11,35,34
23,11,37,34
24,11,37,33
25,12,37,33
26,12,35,34
27,11,35,34
28,11,36,34
29,12,36,35
30,12,36,34
31,11,36,33
32,11,36,34
33,14,37,33
34,11,36,34
35,12,35,34
36,12,36,35
37,12,36,33
38,12,34,33
39,11,36,34
40,11,36,33
41,11,37,33
42,12,37,33
43,12,36,34
44,11,35,34
45,11,36,34
46,12,36,33
47,12,35,33
48,12,36,35
49,11,35,34
50,11,35,35
51,11,36,34
52,11,35,34
53,12,35,34
54,12,36,33
55,11,35,32
56,11,36,34
57,12,36,34
58,12,36,34
59,11,37,33
60,12,36,33
61,11,35,34
62,11,36,33
63,12,36,35
64,12,36,35
65,11,35,34
66,11,35,34
67,12,35,34
68,12,36,34
69,12,34,33
70,11,35,33
71,11,36,34
72,11,35,33
73,12,35,34
74,12,35,34
75,12,35,33
76,10,35,34
77,11,36,34
78,11,35,34
79,12,35,33
80,11,35,33
81,12,35,33
82,12,35,33
83,11,36,33
84,11,35,34
85,12,36,34
86,12,35,34
87,11,35,33
88,12,35,34
89,11,35,33
90,12,36,34
91,12,36,34
92,12,36,34
93,13,35,33
94,11,36,35
95,11,36,34
96,12,35,34
97,11,36,34
98,12,36,34
99,13,36,34
100,11,35,34
101,11,36,33
102,12,37,34
103,11,35,33
104,11,35,34
105,13,35,33
106,12,36,34
107,11,36,34
108,13,35,33
109,12,36,33
110,12,35,34
111,11,36,34
112,12,36,33
113,12,35,34
114,12,35,34
115,12,35,35
116,11,36,34
117,11,36,35
118,12,36,34
119,11,37,36
120,09,37,36
121,09,37,36
122,08,41,36
123,08,42,37
124,09,43,39
125,11,43,37
126,12,45,38
127,14,44,39
128,16,47,38
129,16,50,37
130,17,50,38
131,19,51,37
132,22,50,37
133,23,53,37
134,25,55,38
135,27,54,37
136,29,55,39
137,31,54,41
138,34,53,41
139,36,54,43
140,38,50,43
141,38,51,41
142,38,52,40
143,38,46,40
144,41,46,40
145,41,47,39
146,41,44,39
147,40,42,40
148,38,41,40
149,38,36,41
150,38,39,42
151,37,37,43
152,36,40,46
153,35,42,47
154,36,43,49
155,37,40,50
156,36,42,49
157,37,42,47
158,40,36,49
159,40,44,44
160,45,32,50
161,44,32,42
162,44,36,42
163,46,14,45
164,44,28,44
165,45,35,47
166,43,26,46
167,42,23,40
168,49,23,40
169,48,23,45
170,53,17,52
171,56,17,50
172,57,25,48
173,58,30,44
174,56,30,41
175,55,35,40
176,51,37,40
177,50,40,40
178,48,40,41
179,43,43,45
180,42,36,45
181,39,41,48
182,37,41,51
183,39,39,49
184,41,31,55
185,43,38,46
186,45,33,49
187,44,28,49
188,39,31,41
189,41,24,38
190,41,22,40
191,42,26,43
192,43,25,44
193,49,25,45
194,51,30,53
195,56,22,56
196,60,27,55
197,60,27,52
198,58,31,46
199,57,34,42
200,55,36,37
201,51,39,37
202,46,38,40
203,43,39,41
204,40,40,43
205,40,39,48
206,39,40,50
207,40,35,49
208,39,34,50
209,41,27,45
210,39,26,44
211,40,31,41
212,43,27,40
213,42,24,41
214,36,25,41
215,44,24,42
216,47,22,45
217,47,14,47
218,47,32,52
219,55,17,55
220,60,23,57
221,62,25,55
222,62,32,50
223,61,32,47
224,58,37,45
225,55,38,40
226,46,41,38
227,41,40,33
228,35,44,35
229,33,40,43
230,32,39,41
231,30,36,45
232,31,34,48
233,31,35,50
234,33,34,53
235,33,40,51
236,35,36,53
237,37,34,54
238,41,35,52
239,42,38,49
240,47,30,46
241,47,23,44
242,49,26,43
243,48,28,43
244,44,26,48
245,45,21,51
246,43,29,49
247,45,23,46
248,45,22,42
249,43,24,41
250,45,19,40
251,44,22,39
252,49,12,39
253,40,36,33
254,49,00,32
255,43,23,41
256,46,12,42
257,47,08,47
258,49,14,59
259,58,16,51
260,62,19,49
261,60,29,48
262,57,29,44
263,54,34,41
264,48,36,39
265,43,39,38
266,36,43,37
267,34,36,42
268,32,33,43
269,29,34,48
270,28,33,51
271,27,32,52
272,28,33,52
273,29,31,53
274,31,31,53
275,35,27,52
276,33,33,53
277,38,31,52
278,38,35,52
279,37,38,49
280,45,19,46
281,46,26,46
282,44,32,47
283,45,25,47
284,44,20,46
285,43,20,45
286,48,20,40
287,47,24,38
288,49,13,34
289,46,16,34
290,45,21,34
291,45,20,33
292,45,16,29
293,46,00,35
294,40,15,40
295,40,20,39
296,42,16,42
297,41,13,59
298,49,08,58
299,61,09,52
300,61,20,50
301,60,27,48
302,56,31,42
303,52,33,40
304,47,36,37
305,41,39,36
306,36,39,38
307,34,35,41
308,31,35,44
309,29,33,50
310,29,33,54
311,29,32,54
312,29,30,54
313,32,34,52
314,35,28,61
315,34,29,53
316,38,30,51
317,37,38,50
318,38,33,49
319,40,27,45
320,43,23,43
321,43,27,44
322,39,32,44
323,44,20,43
324,41,32,42
325,47,16,33
326,48,18,31
327,48,15,27
328,46,19,23
329,48,22,25
330,54,00,37
331,37,35,44
332,43,14,37
333,50,10,33
334,52,20,36
335,59,24,30
336,61,26,26
337,59,35,25
338,59,40,29
339,55,49,31
340,53,54,32
341,52,60,38
342,51,62,38
343,50,63,40
344,48,62,42
345,46,59,43
346,47,49,40
347,45,46,37
348,45,42,37
349,46,44,33
350,42,36,28
351,41,59,43
352,43,41,36
353,46,45,36
354,44,43,39
355,40,40,42
356,35,45,45
357,33,30,42
358,29,38,56
359,33,34,52
360,36,27,48
361,32,38,54
362,32,43,53
363,38,45,52
364,39,52,49
365,48,62,44
366,55,55,38
367,59,55,35
368,58,52,36
369,57,40,36
370,53,38,37
371,53,31,38
372,50,34,37
373,56,17,51
374,48,46,39
375,47,45,39
376,45,42,38
377,41,40,42
378,39,45,44
379,40,42,41
380,36,48,41
381,34,38,45
382,29,42,47
383,29,42,49
384,30,46,49
385,31,37,43
386,26,47,56
387,28,44,55
388,31,38,50
389,34,48,55
390,45,60,52
391,51,61,45
392,57,56,46
393,55,52,39
394,54,52,35
395,52,41,35
396,48,37,38
397,48,35,37
398,42,33,34
399,44,51,50
400,43,36,40
401,44,45,41
402,36,42,43
403,38,41,49
404,36,44,44
405,36,44,46
406,36,42,46
407,35,45,46
408,36,46,48
409,39,48,46
410,36,32,43
411,26,41,54
412,27,41,56
413,28,33,45
414,27,44,48
415,36,50,54
416,43,58,55
417,47,62,48
418,49,56,48
419,46,51,42
420,47,44,41
421,47,40,41
422,46,37,44
423,44,39,41
424,43,44,49
425,43,38,43
426,43,41,40
427,38,44,47
428,36,39,44
429,36,44,42
430,34,42,45
431,31,43,45
432,30,42,44
433,25,26,40
434,22,49,52
435,23,44,47
436,21,43,48
437,19,57,53
438,21,62,53
439,26,55,46
440,31,57,44
441,38,59,48
442,44,56,51
443,48,52,47
444,49,52,45
445,50,50,45
446,52,45,40
